Chan	Prompt	Decay	Fit	Residuals
404	0	10	0	0
405	0	6	0	0
406	0	8	0	0
407	0	15	0	0
408	0	4	0	0
409	0	9	0	0
410	0	3	0	0
411	0	9	0	0
412	0	11	0	0
413	0	3	0	0
414	0	6	0	0
415	0	8	0	0
416	0	6	0	0
417	0	10	0	0
418	0	10	0	0
419	0	10	0	0
420	0	11	0	0
421	0	2	0	0
422	0	8	0	0
423	0	5	0	0
424	0	4	0	0
425	0	1	0	0
426	0	6	0	0
427	0	2	0	0
428	0	8	0	0
429	0	10	0	0
430	0	2	0	0
431	0	8	0	0
432	0	4	0	0
433	0	3	0	0
434	0	6	0	0
435	1	13	0	0
436	0	9	0	0
437	0	6	0	0
438	0	10	0	0
439	0	7	0	0
440	0	13	0	0
441	0	5	0	0
442	0	7	0	0
443	0	7	0	0
444	0	9	0	0
445	0	7	0	0
446	0	3	0	0
447	0	8	0	0
448	0	9	0	0
449	0	7	0	0
450	0	6	0	0
451	0	7	0	0
452	0	4	0	0
453	0	7	0	0
454	0	3	0	0
455	0	4	0	0
456	0	7	0	0
457	0	12	0	0
458	0	5	0	0
459	0	3	0	0
460	0	3	0	0
461	0	4	0	0
462	0	5	0	0
463	0	5	0	0
464	0	7	0	0
465	0	5	0	0
466	0	9	0	0
467	0	5	0	0
468	0	6	0	0
469	0	4	0	0
470	0	8	0	0
471	0	4	0	0
472	0	4	0	0
473	0	3	0	0
474	0	2	0	0
475	1	6	0	0
476	1	8	0	0
477	0	7	0	0
478	0	4	0	0
479	0	2	0	0
480	0	8	0	0
481	1	6	0	0
482	4	2	0	0
483	0	6	0	0
484	0	4	0	0
485	1	0	0	0
486	2	0	0	0
487	0	1	0	0
488	0	1	0	0
489	0	5	0	0
490	0	4	0	0
491	0	4	0	0
492	2	4	0	0
493	0	2	0	0
494	0	4	0	0
495	0	4	0	0
496	1	8	0	0
497	1	3	0	0
498	1	5	0	0
499	2	5	0	0
500	1	3	0	0
501	1	4	0	0
502	2	4	0	0
503	0	2	0	0
504	4	0	0	0
505	4	4	0	0
506	1	4	0	0
507	2	6	0	0
508	4	3	0	0
509	3	5	0	0
510	3	2	0	0
511	0	3	0	0
512	2	3	0	0
513	2	7	0	0
514	1	4	0	0
515	3	2	0	0
516	1	2	0	0
517	1	0	0	0
518	1	4	0	0
519	3	2	0	0
520	1	1	0	0
521	1	1	0	0
522	3	4	0	0
523	0	3	0	0
524	2	1	0	0
525	1	1	0	0
526	0	3	0	0
527	1	4	0	0
528	2	4	0	0
529	0	3	0	0
530	1	4	0	0
531	2	5	0	0
532	0	0	0	0
533	2	1	0	0
534	5	2	0	0
535	0	1	0	0
536	2	4	0	0
537	0	2	0	0
538	1	0	0	0
539	3	6	0	0
540	2	2	0	0
541	2	3	0	0
542	0	5	0	0
543	1	3	0	0
544	1	4	0	0
545	0	3	0	0
546	0	9	0	0
547	1	3	0	0
548	0	5	0	0
549	1	4	0	0
550	1	3	0	0
551	1	0	0	0
552	2	3	0	0
553	1	2	0	0
554	0	3	0	0
555	0	2	0	0
556	1	3	0	0
557	0	5	0	0
558	1	2	0	0
559	3	5	0	0
560	0	1	0	0
561	0	2	0	0
562	1	4	0	0
563	0	3	0	0
564	0	4	0	0
565	4	3	0	0
566	1	2	0	0
567	2	3	0	0
568	2	1	0	0
569	0	7	0	0
570	3	6	0	0
571	0	0	0	0
572	1	7	0	0
573	3	2	0	0
574	0	4	0	0
575	0	1	0	0
576	2	4	0	0
577	1	2	0	0
578	1	3	0	0
579	0	2	0	0
580	1	3	0	0
581	1	4	0	0
582	1	3	0	0
583	0	1	0	0
584	0	3	0	0
585	0	3	0	0
586	1	1	0	0
587	1	2	0	0
588	0	6	0	0
589	0	0	0	0
590	0	2	0	0
591	1	4	0	0
592	2	2	0	0
593	1	5	0	0
594	0	2	0	0
595	0	4	0	0
596	0	1	0	0
597	2	3	0	0
598	0	1	0	0
599	3	2	0	0
600	1	5	0	0
601	0	1	0	0
602	0	3	0	0
603	0	5	0	0
604	0	2	0	0
605	1	3	0	0
606	1	6	0	0
607	0	1	0	0
608	2	2	0	0
609	2	0	0	0
610	1	5	0	0
611	0	2	0	0
612	0	0	0	0
613	1	2	0	0
614	1	2	0	0
615	0	4	0	0
616	2	2	0	0
617	2	3	0	0
618	2	3	0	0
619	2	3	0	0
620	2	4	0	0
621	0	5	0	0
622	1	2	0	0
623	0	2	0	0
624	0	0	0	0
625	0	2	0	0
626	1	2	0	0
627	2	0	0	0
628	0	1	0	0
629	1	2	0	0
630	1	3	0	0
631	0	3	0	0
632	0	5	0	0
633	0	3	0	0
634	0	1	0	0
635	2	2	0	0
636	0	3	0	0
637	2	1	0	0
638	1	3	0	0
639	1	6	0	0
640	1	4	0	0
641	0	2	0	0
642	1	6	0	0
643	1	3	0	0
644	1	2	0	0
645	0	4	0	0
646	2	4	0	0
647	1	3	0	0
648	1	6	0	0
649	0	8	0	0
650	2	0	0	0
651	0	3	0	0
652	1	1	0	0
653	1	2	0	0
654	1	3	0	0
655	0	4	0	0
656	0	3	0	0
657	1	4	0	0
658	0	0	0	0
659	2	2	0	0
660	1	2	0	0
661	2	2	0	0
662	1	0	0	0
663	1	4	0	0
664	2	4	0	0
665	3	2	0	0
666	0	2	0	0
667	1	2	0	0
668	2	2	0	0
669	1	3	0	0
670	1	3	0	0
671	1	3	0	0
672	1	3	0	0
673	2	3	0	0
674	1	5	0	0
675	0	3	0	0
676	1	0	0	0
677	1	1	0	0
678	0	1	0	0
679	1	2	0	0
680	1	1	0	0
681	3	4	0	0
682	1	1	0	0
683	1	5	0	0
684	1	1	0	0
685	2	3	0	0
686	2	2	0	0
687	3	4	0	0
688	2	1	0	0
689	4	2	0	0
690	2	3	0	0
691	0	3	0	0
692	1	5	0	0
693	0	2	0	0
694	3	1	0	0
695	1	0	0	0
696	0	3	0	0
697	2	2	0	0
698	1	2	0	0
699	2	2	0	0
700	1	1	0	0
701	1	3	0	0
702	0	2	0	0
703	1	2	0	0
704	1	1	0	0
705	0	1	0	0
706	3	2	0	0
707	0	3	0	0
708	2	0	0	0
709	0	1	0	0
710	1	4	0	0
711	1	1	0	0
712	1	1	0	0
713	1	0	0	0
714	0	0	0	0
715	3	1	0	0
716	1	1	0	0
717	1	3	0	0
718	2	1	0	0
719	2	1	0	0
720	0	0	0	0
721	2	1	0	0
722	1	4	0	0
723	0	2	0	0
724	1	1	0	0
725	3	3	0	0
726	0	0	0	0
727	1	0	0	0
728	2	1	0	0
729	1	2	0	0
730	0	3	0	0
731	1	4	0	0
732	3	3	0	0
733	0	1	0	0
734	0	1	0	0
735	4	2	0	0
736	2	2	0	0
737	0	1	0	0
738	1	0	0	0
739	3	1	0	0
740	2	4	0	0
741	1	3	0	0
742	1	2	0	0
743	1	3	0	0
744	0	2	0	0
745	0	1	0	0
746	1	2	0	0
747	3	4	0	0
748	3	4	0	0
749	2	4	0	0
750	2	0	0	0
751	0	2	0	0
752	1	3	0	0
753	0	0	0	0
754	0	1	0	0
755	0	0	0	0
756	0	1	0	0
757	0	0	0	0
758	2	2	0	0
759	0	1	0	0
760	1	2	0	0
761	0	5	0	0
762	1	1	0	0
763	0	1	0	0
764	1	2	0	0
765	0	3	0	0
766	1	3	0	0
767	1	1	0	0
768	2	1	0	0
769	0	3	0	0
770	0	3	0	0
771	0	1	0	0
772	0	2	0	0
773	1	4	0	0
774	0	2	0	0
775	1	2	0	0
776	0	1	0	0
777	1	2	0	0
778	0	2	0	0
779	0	4	0	0
780	0	0	0	0
781	0	2	0	0
782	1	3	0	0
783	0	0	0	0
784	0	1	0	0
785	1	1	0	0
786	0	3	0	0
787	1	1	0	0
788	0	1	0	0
789	0	2	0	0
790	0	1	0	0
791	2	1	0	0
792	2	1	0	0
793	0	0	0	0
794	0	3	0	0
795	1	3	0	0
796	2	0	0	0
797	0	1	0	0
798	1	3	0	0
799	0	0	0	0
800	2	1	0	0
801	1	1	0	0
802	0	2	0	0
803	1	1	0	0
804	0	3	0	0
805	0	2	0	0
806	0	1	0	0
807	0	2	0	0
808	0	1	0	0
809	2	0	0	0
810	0	0	0	0
811	4	3	0	0
812	0	0	0	0
813	2	1	0	0
814	0	2	0	0
815	2	0	0	0
816	0	4	0	0
817	0	0	0	0
818	0	1	0	0
819	0	1	0	0
820	0	4	0	0
821	3	1	0	0
822	1	0	0	0
823	0	1	0	0
824	0	1	0	0
825	0	0	0	0
826	1	2	0	0
827	0	1	0	0
828	1	0	0	0
829	0	5	0	0
830	0	2	0	0
831	0	0	0	0
832	0	2	0	0
833	1	3	0	0
834	1	1	0	0
835	0	3	0	0
836	1	1	0	0
837	1	1	0	0
838	2	2	0	0
839	0	0	0	0
840	0	1	0	0
841	0	1	0	0
842	1	0	0	0
843	0	0	0	0
844	0	2	0	0
845	0	0	0	0
846	0	1	0	0
847	1	3	0	0
848	1	2	0	0
849	0	1	0	0
850	1	1	0	0
851	1	1	0	0
852	1	2	0	0
853	0	1	0	0
854	0	0	0	0
855	1	1	0	0
856	0	2	0	0
857	1	4	0	0
858	0	0	0	0
859	0	1	0	0
860	1	1	0	0
861	0	1	0	0
862	0	1	0	0
863	0	0	0	0
864	0	1	0	0
865	1	3	0	0
866	0	1	0	0
867	0	1	0	0
868	0	2	0	0
869	2	2	0	0
870	0	3	0	0
871	0	4	0	0
872	0	1	0	0
873	1	1	0	0
874	1	3	0	0
875	0	3	0	0
876	0	1	0	0
877	0	2	0	0
878	1	0	0	0
879	0	1	0	0
880	0	1	0	0
881	1	2	0	0
882	3	2	0	0
883	0	2	0	0
884	0	1	0	0
885	0	1	0	0
886	0	0	0	0
887	0	0	0	0
888	1	1	0	0
889	1	1	0	0
890	0	1	0	0
891	0	3	0	0
892	0	0	0	0
893	0	3	0	0
894	0	0	0	0
895	0	3	0	0
896	0	1	0	0
897	1	2	0	0
898	0	4	0	0
899	0	3	0	0
900	0	1	0	0
901	0	1	0	0
902	0	1	0	0
903	0	2	0	0
904	0	1	0	0
905	0	2	0	0
906	0	7	0	0
907	0	0	0	0
908	0	3	0	0
909	0	0	0	0
910	1	1	0	0
911	0	3	0	0
912	0	0	0	0
913	1	0	0	0
914	0	2	0	0
915	0	1	0	0
916	0	0	0	0
917	1	3	0	0
918	1	1	0	0
919	1	0	0	0
920	0	4	0	0
921	0	3	0	0
922	1	0	0	0
923	0	1	0	0
924	0	1	0	0
925	0	0	0	0
926	0	0	0	0
927	1	0	0	0
928	0	4	0	0
929	0	0	0	0
930	0	2	0	0
931	0	0	0	0
932	0	0	0	0
933	0	1	0	0
934	1	2	0	0
935	0	0	0	0
936	0	1	0	0
937	0	1	0	0
938	0	1	0	0
939	0	1	0	0
940	0	1	0	0
941	0	0	0	0
942	0	1	0	0
943	0	2	0	0
944	0	3	0	0
945	0	0	0	0
946	1	1	0	0
947	0	0	0	0
948	0	0	0	0
949	0	2	0	0
950	0	3	0	0
951	0	1	0	0
952	1	1	0	0
953	0	3	0	0
954	0	1	0	0
955	0	0	0	0
956	0	1	0	0
957	0	0	0	0
958	0	2	0	0
959	0	1	0	0
960	0	0	0	0
961	0	0	0	0
962	0	2	0	0
963	1	1	0	0
964	0	1	0	0
965	0	3	0	0
966	0	4	0	0
967	1	0	0	0
968	1	1	0	0
969	1	1	0	0
970	0	0	0	0
971	0	4	0	0
972	0	1	0	0
973	1	2	0	0
974	0	2	0	0
975	0	1	0	0
976	1	0	0	0
977	0	1	0	0
978	0	0	0	0
979	1	1	0	0
980	0	1	0	0
981	0	0	0	0
982	0	4	0	0
983	0	2	0	0
984	0	1	0	0
985	0	0	0	0
986	0	0	0	0
987	0	2	0	0
988	0	2	0	0
989	2	2	0	0
990	0	1	0	0
991	0	2	0	0
992	0	3	0	0
993	0	1	0	0
994	0	3	0	0
995	0	0	0	0
996	0	1	0	0
997	0	0	0	0
998	0	0	0	0
999	0	1	0	0
1000	1	1	0	0
1001	1	2	0	0
1002	0	0	0	0
1003	1	3	0	0
1004	0	1	0	0
1005	0	0	0	0
1006	0	1	0	0
1007	0	0	0	0
1008	0	2	0	0
1009	0	3	0	0
1010	0	1	0	0
1011	0	1	0	0
1012	0	0	0	0
1013	0	2	0	0
1014	0	1	0	0
1015	0	0	0	0
1016	0	1	0	0
1017	0	1	0	0
1018	0	4	0	0
1019	0	1	0	0
1020	0	1	0	0
1021	0	0	0	0
1022	0	1	0	0
1023	0	2	0	0
1024	0	1	0	0
1025	0	1	0	0
1026	1	4	0	0
1027	0	0	0	0
1028	0	0	0	0
1029	0	2	0	0
1030	0	2	0	0
1031	1	1	0	0
1032	1	2	0	0
1033	1	3	0	0
1034	1	2	0	0
1035	1	0	0	0
1036	0	3	0	0
1037	0	3	0	0
1038	0	0	0	0
1039	0	1	0	0
1040	1	5	0	0
1041	0	1	0	0
1042	0	2	0	0
1043	0	2	0	0
1044	0	0	0	0
1045	0	1	0	0
1046	0	0	0	0
1047	0	3	0	0
1048	0	4	0	0
1049	0	5	0	0
1050	1	1	0	0
1051	1	2	0	0
1052	0	1	0	0
1053	0	1	0	0
1054	0	2	0	0
1055	0	1	0	0
1056	1	1	0	0
1057	0	2	0	0
1058	0	1	0	0
1059	0	0	0	0
1060	0	2	0	0
1061	0	2	0	0
1062	1	2	0	0
1063	0	0	0	0
1064	0	0	0	0
1065	0	3	0	0
1066	0	1	0	0
1067	0	1	0	0
1068	0	5	0	0
1069	0	1	0	0
1070	0	0	0	0
1071	0	3	0	0
1072	0	2	0	0
1073	0	1	0	0
1074	0	0	0	0
1075	1	2	0	0
1076	0	1	0	0
1077	1	1	0	0
1078	0	1	0	0
1079	0	1	0	0
1080	1	4	0	0
1081	1	2	0	0
1082	0	1	0	0
1083	0	0	0	0
1084	0	2	0	0
1085	1	2	0	0
1086	0	1	0	0
1087	1	1	0	0
1088	1	0	0	0
1089	0	3	0	0
1090	0	0	0	0
1091	0	0	0	0
1092	0	1	0	0
1093	1	1	0	0
1094	0	2	0	0
1095	1	4	0	0
1096	0	2	0	0
1097	0	1	0	0
1098	0	2	0	0
1099	0	1	0	0
1100	0	1	0	0
1101	0	0	0	0
1102	0	1	0	0
1103	0	0	0	0
1104	0	3	0	0
1105	2	1	0	0
1106	0	2	0	0
1107	0	0	0	0
1108	1	1	0	0
1109	0	1	0	0
1110	1	1	0	0
1111	0	0	0	0
1112	0	2	0	0
1113	0	2	0	0
1114	0	1	0	0
1115	0	0	0	0
1116	1	1	0	0
1117	0	0	0	0
1118	2	4	0	0
1119	0	1	0	0
1120	0	0	0	0
1121	0	1	0	0
1122	3	1	0	0
1123	0	3	0	0
1124	0	2	0	0
1125	1	1	0	0
1126	0	1	0	0
1127	0	2	0	0
1128	1	1	0	0
1129	1	2	0	0
1130	0	3	0	0
1131	0	1	0	0
1132	0	1	0	0
1133	0	3	0	0
1134	0	0	0	0
1135	1	2	0	0
1136	0	1	0	0
1137	0	3	0	0
1138	1	1	0	0
1139	0	1	0	0
1140	0	0	0	0
1141	0	0	0	0
1142	0	1	0	0
1143	0	2	0	0
1144	0	3	0	0
1145	1	0	0	0
1146	0	0	0	0
1147	0	4	0	0
1148	0	1	0	0
1149	0	0	0	0
1150	0	0	0	0
1151	0	1	0	0
1152	0	0	0	0
1153	0	0	0	0
1154	0	0	0	0
1155	0	2	0	0
1156	1	0	0	0
1157	1	0	0	0
1158	0	2	0	0
1159	0	0	0	0
1160	0	0	0	0
1161	0	1	0	0
