GENERAL$,
5.71,0.27383
5.72,0.22022
5.73,0.18139
5.74,0.15241
5.75,0.13023
5.76,0.1129
5.77,0.09918
5.78,0.08805
5.79,0.07895
5.8,0.07141
5.81,0.06512
5.82,0.05982
5.83,0.05532
5.84,0.05148
5.85,0.04818
5.86,0.04534
5.87,0.04287
5.88,0.04066
5.89,0.03881
5.9,0.03719
5.91,0.03579
5.92,0.03457
5.93,0.03352
5.94,0.03261
5.95,0.03183
5.96,0.03118
5.97,0.03063
5.98,0.03018
5.99,0.02983
6,0.02957
6.01,0.02939
6.02,0.0293
6.03,0.02928
6.04,0.02934
6.05,0.02947
6.06,0.02968
6.07,0.02997
6.08,0.03034
6.09,0.03079
6.1,0.03133
6.11,0.03196
6.12,0.03268
6.13,0.0335
6.14,0.03443
6.15,0.03548
6.16,0.03666
6.17,0.038
6.18,0.03949
6.19,0.04115
6.2,0.043
6.21,0.04508
6.22,0.04741
6.23,0.05003
6.24,0.05297
6.25,0.0563
6.26,0.06008
6.27,0.06437
6.28,0.06929
6.29,0.07493
6.3,0.08146
6.31,0.08905
6.32,0.09795
6.33,0.10848
6.34,0.12103
6.35,0.13618
6.36,0.15466
6.37,0.17755
6.38,0.20633
6.39,0.24322
6.4,0.29155
6.41,0.35656
6.42,0.44685
6.43,0.57748
6.44,0.78145
6.45,1.18395
6.46,2.37707
6.47,6.18841
6.48,14.84111
6.49,25.84519
6.5,29.19347
6.51,22.95824
6.52,13.08409
6.53,5.72412
6.54,2.30901
6.55,1.13763
6.56,0.73431
6.57,0.53821
6.58,0.41469
6.59,0.32954
6.6,0.26828
6.61,0.22278
6.62,0.18807
6.63,0.16102
6.64,0.13953
6.65,0.12219
6.66,0.108
6.67,0.09624
6.68,0.08639
6.69,0.07807
6.7,0.07097
6.71,0.06487
6.72,0.05959
6.73,0.055
6.74,0.05097
6.75,0.04743
6.76,0.0443
6.77,0.04153
6.78,0.03905
6.79,0.03683
6.8,0.03484
6.81,0.03305
6.82,0.03144
6.83,0.02998
6.84,0.02865
6.85,0.02745
6.86,0.02635
6.87,0.02535
6.88,0.02444
6.89,0.02361
6.9,0.02285
6.91,0.02215
6.92,0.02152
6.93,0.02093
6.94,0.0204
6.95,0.01992
6.96,0.01947
6.97,0.01907
6.98,0.0187
6.99,0.01837
7,0.01807
7.01,0.01781
7.02,0.01757
7.03,0.01736
7.04,0.01718
7.05,0.01702
7.06,0.0169
7.07,0.0168
7.08,0.01672
7.09,0.01668
7.1,0.01666
7.11,0.01668
7.12,0.01673
7.13,0.01683
7.14,0.01697
7.15,0.01717
7.16,0.01744
7.17,0.01782
7.18,0.01833
7.19,0.01905
7.2,0.0201
7.21,0.02176
7.22,0.02527
7.23,0.03594
7.24,0.06716
7.25,0.12869
7.26,0.19116
7.27,0.19444
7.28,0.15168
7.29,0.09375
7.3,0.05163
7.31,0.03204
7.32,0.02534
7.33,0.02314
7.34,0.02221
7.35,0.02175
7.36,0.02156
7.37,0.02156
7.38,0.02168
7.39,0.0219
7.4,0.02219
7.41,0.02256
7.42,0.02299
7.43,0.02347
7.44,0.02401
7.45,0.0246
7.46,0.02525
7.47,0.02599
7.48,0.02675
7.49,0.02759
7.5,0.02848
7.51,0.02944
7.52,0.03047
7.53,0.03158
7.54,0.03278
7.55,0.03407
7.56,0.03547
7.57,0.03698
7.58,0.03861
7.59,0.04038
7.6,0.04231
7.61,0.0444
7.62,0.04668
7.63,0.04918
7.64,0.05191
7.65,0.05498
7.66,0.05828
7.67,0.06193
7.68,0.06597
7.69,0.07047
7.7,0.07548
7.71,0.08111
7.72,0.08744
7.73,0.09459
7.74,0.10266
7.75,0.11197
7.76,0.12268
7.77,0.1351
7.78,0.1496
7.79,0.16667
7.8,0.18696
7.81,0.21135
7.82,0.241
7.83,0.27756
7.84,0.32336
7.85,0.38177
7.86,0.45791
7.87,0.5597
7.88,0.70006
7.89,0.90126
7.9,1.2093
7.91,1.77967
7.92,3.32284
7.93,8.14127
7.94,19.47828
7.95,35.2126
7.96,42.09201
7.97,35.9519
7.98,24.51615
7.99,12.71823
8,5.50633
8.01,2.47691
8.02,1.43042
8.03,1.00149
8.04,0.75696
8.05,0.59357
8.06,0.47784
8.07,0.39285
8.08,0.32865
8.09,0.27898
8.1,0.23976
8.11,0.20828
8.12,0.18264
8.13,0.16147
8.14,0.14381
8.15,0.12891
8.16,0.11623
8.17,0.10537
8.18,0.09598
8.19,0.08781
8.2,0.08068
8.21,0.0744
8.22,0.06885
8.23,0.06392
8.24,0.05953
8.25,0.05561
8.26,0.05208
8.27,0.0489
8.28,0.04604
8.29,0.04344
8.3,0.04108
8.31,0.03894
8.32,0.03706
8.33,0.03528
8.34,0.03366
8.35,0.03218
8.36,0.03082
8.37,0.02952
8.38,0.02839
8.39,0.02737
8.4,0.02645
8.41,0.02563
8.42,0.02489
8.43,0.02425
8.44,0.0237
8.45,0.02326
8.46,0.02292
8.47,0.0227
8.48,0.02264
8.49,0.02275
8.5,0.02311
8.51,0.0238
8.52,0.02496
8.53,0.02686
8.54,0.03007
8.55,0.03665
8.56,0.0557
8.57,0.1137
8.58,0.24053
8.59,0.39773
8.6,0.442
8.61,0.37139
8.62,0.26205
8.63,0.14617
8.64,0.07259
8.65,0.0406
8.66,0.02926
8.67,0.02455
8.68,0.02186
8.69,0.02006
8.7,0.01879
8.71,0.01788
8.72,0.01721
8.73,0.01671
8.74,0.01636
8.75,0.01611
8.76,0.01595
8.77,0.01586
8.78,0.01584
8.79,0.01587
8.8,0.01597
8.81,0.01611
8.82,0.01631
8.83,0.01657
8.84,0.01687
8.85,0.01724
8.86,0.01766
8.87,0.01815
8.88,0.01864
8.89,0.01928
8.9,0.02
8.91,0.02083
8.92,0.02176
8.93,0.02282
8.94,0.02402
8.95,0.02538
8.96,0.02694
8.97,0.02872
8.98,0.03077
8.99,0.03313
9,0.03588
9.01,0.03909
9.02,0.04287
9.03,0.04737
9.04,0.05276
9.05,0.0593
9.06,0.06726
9.07,0.07727
9.08,0.08997
9.09,0.1064
9.1,0.12817
9.11,0.1579
9.12,0.19983
9.13,0.26229
9.14,0.36829
9.15,0.61734
9.16,1.37424
9.17,3.32688
9.18,6.54435
9.19,8.83081
9.2,8.11634
9.21,6.36772
9.22,4.07351
9.23,2.03182
9.24,0.90058
9.25,0.4522
9.26,0.28952
9.27,0.2127
9.28,0.16518
9.29,0.1325
9.3,0.10897
9.31,0.09149
9.32,0.07816
9.33,0.06778
9.34,0.05955
9.35,0.05294
9.36,0.04757
9.37,0.04315
9.38,0.0395
9.39,0.03646
9.4,0.03392
9.41,0.03179
9.42,0.03002
9.43,0.02855
9.44,0.02733
9.45,0.02635
9.46,0.02558
9.47,0.025
9.48,0.02456
9.49,0.02434
9.5,0.02426
9.51,0.02438
9.52,0.02469
9.53,0.02518
9.54,0.02589
9.55,0.02684
9.56,0.02805
9.57,0.02959
9.58,0.0315
9.59,0.03388
9.6,0.03688
9.61,0.04056
9.62,0.04519
9.63,0.05104
9.64,0.05855
9.65,0.06838
9.66,0.08153
9.67,0.09962
9.68,0.12541
9.69,0.16429
9.7,0.23243
9.71,0.39954
9.72,0.90153
9.73,2.12272
9.74,3.97018
9.75,5.01785
9.76,4.43625
9.77,3.50719
9.78,2.29515
9.79,1.16867
9.8,0.52669
9.81,0.26678
9.82,0.17133
9.83,0.12617
9.84,0.09823
9.85,0.07896
9.86,0.06505
9.87,0.05467
9.88,0.04672
9.89,0.0405
9.9,0.03554
9.91,0.03153
9.92,0.02823
9.93,0.0255
9.94,0.02321
9.95,0.02127
9.96,0.01962
9.97,0.01821
9.98,0.017
9.99,0.01595
10,0.01505
10.01,0.01427
10.02,0.01359
10.03,0.01301
10.04,0.01252
10.05,0.0121
10.06,0.01176
10.07,0.01149
10.08,0.0113
10.09,0.01117
10.1,0.01112
10.11,0.01114
10.12,0.01126
10.13,0.01149
10.14,0.01184
10.15,0.01235
10.16,0.01306
10.17,0.01403
10.18,0.01537
10.19,0.01723
10.2,0.01986
10.21,0.02369
10.22,0.02959
10.23,0.0404
10.24,0.0681
10.25,0.14982
10.26,0.33662
10.27,0.5938
10.28,0.70067
10.29,0.5998
10.3,0.47999
10.31,0.32135
10.32,0.1681
10.33,0.07896
10.34,0.04233
10.35,0.0287
10.36,0.02223
10.37,0.01821
10.38,0.01545
10.39,0.01345
10.4,0.01197
10.41,0.01084
10.42,0.00996
10.43,0.00927
10.44,0.00872
10.45,0.00828
10.46,0.00793
10.47,0.00766
10.48,0.00744
10.49,0.00727
10.5,0.00714
10.51,0.0071
10.52,0.00706
10.53,0.00704
10.54,0.00709
10.55,0.00714
10.56,0.00723
10.57,0.00735
10.58,0.00751
10.59,0.00772
10.6,0.00798
10.61,0.0083
10.62,0.00869
10.63,0.00916
10.64,0.00974
10.65,0.01046
10.66,0.01136
10.67,0.0125
10.68,0.01391
10.69,0.01584
10.7,0.01843
10.71,0.02211
10.72,0.02754
10.73,0.03664
10.74,0.05726
10.75,0.11715
10.76,0.26763
10.77,0.51369
10.78,0.68669
10.79,0.62104
10.8,0.50733
10.81,0.38417
10.82,0.22542
10.83,0.11062
10.84,0.05621
10.85,0.03593
10.86,0.02762
10.87,0.02306
10.88,0.02014
10.89,0.01817
10.9,0.01684
10.91,0.01595
10.92,0.01539
10.93,0.01507
