GENERAL$,
8.15,0.09402
8.16,0.0861
8.17,0.07917
8.18,0.07306
8.19,0.06766
8.2,0.06286
8.21,0.05857
8.22,0.05474
8.23,0.05129
8.24,0.04818
8.25,0.04537
8.26,0.04283
8.27,0.04051
8.28,0.03841
8.29,0.03649
8.3,0.03473
8.31,0.03313
8.32,0.03159
8.33,0.03024
8.34,0.02901
8.35,0.02789
8.36,0.02686
8.37,0.02593
8.38,0.02508
8.39,0.02432
8.4,0.02364
8.41,0.02305
8.42,0.02254
8.43,0.02213
8.44,0.02182
8.45,0.02164
8.46,0.0216
8.47,0.02176
8.48,0.02219
8.49,0.02301
8.5,0.02445
8.51,0.02716
8.52,0.03385
8.53,0.05519
8.54,0.11309
8.55,0.21461
8.56,0.29697
8.57,0.28222
8.58,0.22161
8.59,0.14157
8.6,0.07547
8.61,0.04078
8.62,0.0275
8.63,0.02266
8.64,0.0203
8.65,0.01883
8.66,0.01782
8.67,0.0171
8.68,0.01659
8.69,0.01623
8.7,0.01598
8.71,0.01582
8.72,0.01573
8.73,0.01571
8.74,0.01574
8.75,0.01583
8.76,0.01596
8.77,0.01615
8.78,0.01638
8.79,0.01666
8.8,0.017
8.81,0.01739
8.82,0.01784
8.83,0.01835
8.84,0.01901
8.85,0.01959
8.86,0.02034
8.87,0.02119
8.88,0.02214
8.89,0.02322
8.9,0.02444
8.91,0.02582
8.92,0.02739
8.93,0.02919
8.94,0.03125
8.95,0.03362
8.96,0.03637
8.97,0.03958
8.98,0.04334
8.99,0.0478
9,0.05313
9.01,0.05958
9.02,0.06745
9.03,0.07723
9.04,0.08955
9.05,0.10538
9.06,0.1262
9.07,0.15431
9.08,0.19356
9.09,0.25083
9.1,0.34269
9.11,0.53456
9.12,1.09582
9.13,2.68297
9.14,5.75725
9.15,8.8579
9.16,8.97259
9.17,7.29541
9.18,5.0345
9.19,2.67904
9.2,1.2027
9.21,0.56663
9.22,0.33911
9.23,0.24202
9.24,0.18553
9.25,0.14748
9.26,0.1204
9.27,0.10046
9.28,0.08536
9.29,0.07367
9.3,0.06446
9.31,0.05708
9.32,0.0511
9.33,0.04619
9.34,0.04214
9.35,0.03878
9.36,0.03597
9.37,0.03361
9.38,0.03164
9.39,0.03
9.4,0.02865
9.41,0.02754
9.42,0.02665
9.43,0.02597
9.44,0.02546
9.45,0.02515
9.46,0.02502
9.47,0.02505
9.48,0.02529
9.49,0.02572
9.5,0.02636
9.51,0.02723
9.52,0.02838
9.53,0.02984
9.54,0.03168
9.55,0.03396
9.56,0.03687
9.57,0.04042
9.58,0.04491
9.59,0.05056
9.6,0.05782
9.61,0.06731
9.62,0.07999
9.63,0.0974
9.64,0.12213
9.65,0.15919
9.66,0.22286
9.67,0.3744
9.68,0.82984
9.69,1.97236
9.7,3.78892
9.71,4.97027
9.72,4.48114
9.73,3.56381
9.74,2.37474
9.75,1.22681
9.76,0.55358
9.77,0.27606
9.78,0.17481
9.79,0.12808
9.8,0.09956
9.81,0.07999
9.82,0.0659
9.83,0.05542
9.84,0.04741
9.85,0.04116
9.86,0.03611
9.87,0.0321
9.88,0.02881
9.89,0.02609
9.9,0.02382
9.91,0.02191
9.92,0.02028
9.93,0.01891
9.94,0.01773
9.95,0.01672
9.96,0.01586
9.97,0.01513
9.98,0.01452
9.99,0.014
10,0.01358
10.01,0.01325
10.02,0.013
10.03,0.01284
10.04,0.01276
10.05,0.01278
10.06,0.01289
10.07,0.01311
10.08,0.01347
10.09,0.01397
10.1,0.01467
10.11,0.0156
10.12,0.01684
10.13,0.0185
10.14,0.02073
10.15,0.02379
10.16,0.02809
10.17,0.03434
10.18,0.04405
10.19,0.06244
10.2,0.11143
10.21,0.25404
10.22,0.56337
10.23,0.95282
10.24,1.06456
10.25,0.89532
10.26,0.70722
10.27,0.45452
10.28,0.23017
10.29,0.10713
10.3,0.05833
10.31,0.0399
10.32,0.03074
10.33,0.02493
10.34,0.0209
10.35,0.01798
10.36,0.0158
10.37,0.01413
10.38,0.01283
10.39,0.0118
10.4,0.01098
10.41,0.01032
10.42,0.00978
10.43,0.00935
10.44,0.009
10.45,0.00873
10.46,0.00851
10.47,0.00838
10.48,0.00827
10.49,0.00821
10.5,0.00819
10.51,0.00821
10.52,0.00828
10.53,0.00839
10.54,0.00855
10.55,0.00876
10.56,0.00903
10.57,0.00938
10.58,0.0098
10.59,0.01033
10.6,0.01099
10.61,0.01181
10.62,0.01285
10.63,0.01417
10.64,0.0159
10.65,0.01812
10.66,0.02124
10.67,0.02574
10.68,0.03257
10.69,0.04499
10.7,0.07659
10.71,0.16805
10.72,0.37228
10.73,0.64534
10.74,0.7458
10.75,0.63079
10.76,0.51303
10.77,0.35771
10.78,0.19384
10.79,0.0934
10.8,0.05079
10.81,0.03508
10.82,0.02796
10.83,0.02376
10.84,0.021
10.85,0.01914
10.86,0.01788
10.87,0.01705
10.88,0.01654
10.89,0.01628
10.9,0.01622
10.91,0.01634
10.92,0.01661
10.93,0.01703
10.94,0.01759
10.95,0.01829
10.96,0.01915
10.97,0.02017
10.98,0.02137
10.99,0.02278
11,0.02441
11.01,0.02632
11.02,0.02855
11.03,0.03116
11.04,0.03424
11.05,0.03789
11.06,0.04225
11.07,0.04752
11.08,0.05394
11.09,0.06188
11.1,0.07184
11.11,0.08451
11.12,0.10113
11.13,0.12338
11.14,0.15411
11.15,0.19821
11.16,0.26646
11.17,0.39503
11.18,0.73185
11.19,1.68489
11.2,3.70006
11.21,6.16832
11.22,6.74739
11.23,5.5728
11.24,4.58683
11.25,3.24156
11.26,1.74967
11.27,0.81463
11.28,0.41068
11.29,0.25864
11.3,0.18813
11.31,0.14522
11.32,0.11568
11.33,0.09442
11.34,0.07858
11.35,0.06645
11.36,0.05696
11.37,0.04939
11.38,0.04327
11.39,0.03824
11.4,0.03407
11.41,0.03057
11.42,0.02761
11.43,0.02508
11.44,0.02292
11.45,0.02105
11.46,0.01943
11.47,0.01803
11.48,0.01681
11.49,0.01575
11.5,0.01484
11.51,0.01405
11.52,0.01338
11.53,0.01284
11.54,0.0124
11.55,0.01209
11.56,0.01192
11.57,0.0119
11.58,0.01207
11.59,0.01251
11.6,0.01331
11.61,0.01468
11.62,0.01697
11.63,0.02181
11.64,0.03511
11.65,0.07257
11.66,0.14974
11.67,0.24003
11.68,0.25452
11.69,0.20805
11.7,0.17431
11.71,0.12851
11.72,0.07296
11.73,0.03643
11.74,0.02005
11.75,0.01377
11.76,0.01084
11.77,0.00903
11.78,0.00776
11.79,0.00682
11.8,0.0061
11.81,0.00553
11.82,0.00507
11.83,0.00469
11.84,0.00436
11.85,0.00415
11.86,0.00391
11.87,0.00371
11.88,0.00352
11.89,0.00336
11.9,0.00321
11.91,0.00308
11.92,0.00296
11.93,0.00285
11.94,0.00275
11.95,0.00266
11.96,0.00257
11.97,0.00249
11.98,0.00242
11.99,0.00235
12,0.00229
12.01,0.00223
12.02,0.00218
12.03,0.00213
12.04,0.00208
12.05,0.00204
12.06,0.002
12.07,0.00196
12.08,0.00192
12.09,0.00189
12.1,0.00187
12.11,0.00184
12.12,0.00182
12.13,0.0018
12.14,0.00178
12.15,0.00176
12.16,0.00175
12.17,0.00173
12.18,0.00165
12.19,0.00164
12.2,0.00164
12.21,0.00163
12.22,0.00163
12.23,0.00163
12.24,0.00164
12.25,0.00165
12.26,0.00166
12.27,0.00167
12.28,0.00169
12.29,0.00172
12.3,0.00174
12.31,0.00184
12.32,0.00189
12.33,0.00194
12.34,0.002
12.35,0.00207
12.36,0.00215
12.37,0.00225
12.38,0.00237
12.39,0.00251
12.4,0.00269
12.41,0.0029
12.42,0.00316
12.43,0.00349
12.44,0.00391
12.45,0.00446
12.46,0.0052
12.47,0.00629
12.48,0.00777
12.49,0.01008
12.5,0.01459
12.51,0.02656
12.52,0.0584
12.53,0.12073
12.54,0.18839
12.55,0.19158
12.56,0.15289
12.57,0.13134
12.58,0.10339
12.59,0.06123
12.6,0.03058
12.61,0.01603
12.62,0.01043
12.63,0.00799
12.64,0.00659
12.65,0.00567
12.66,0.00503
12.67,0.00456
12.68,0.00424
12.69,0.00402
12.7,0.00385
12.71,0.00376
12.72,0.00372
12.73,0.00372
12.74,0.00376
12.75,0.00384
12.76,0.00396
12.77,0.00412
12.78,0.00433
12.79,0.0046
12.8,0.00493
12.81,0.00534
12.82,0.00584
12.83,0.00648
12.84,0.00728
12.85,0.00831
12.86,0.00965
12.87,0.01144
12.88,0.01395
12.89,0.01745
12.9,0.02277
12.91,0.03227
12.92,0.0553
12.93,0.11884
12.94,0.25845
12.95,0.44828
12.96,0.52016
12.97,0.42373
12.98,0.3505
12.99,0.30377
13,0.20273
13.01,0.1058
13.02,0.05163
13.03,0.02939
13.04,0.02043
13.05,0.01576
13.06,0.01275
13.07,0.01065
13.08,0.00912
13.09,0.00798
13.1,0.00711
13.11,0.00643
13.12,0.00591
13.13,0.00549
13.14,0.00516
13.15,0.00491
13.16,0.00471
13.17,0.00449
13.18,0.00439
13.19,0.00433
13.2,0.00433
13.21,0.00434
13.22,0.00439
13.23,0.0045
13.24,0.00464
13.25,0.00485
13.26,0.00513
13.27,0.00552
13.28,0.00606
13.29,0.00683
13.3,0.00798
13.31,0.01
13.32,0.01471
13.33,0.02755
13.34,0.05599
13.35,0.09579
13.36,0.11295
13.37,0.09297
13.38,0.07671
13.39,0.06928
13.4,0.05036
13.41,0.02935
13.42,0.0168
13.43,0.01156
13.44,0.00964
13.45,0.00883
13.46,0.00846
13.47,0.00832
13.48,0.00835
13.49,0.00852
13.5,0.0088
13.51,0.00918
13.52,0.00967
13.53,0.01026
13.54,0.01097
13.55,0.01183
13.56,0.01282
13.57,0.01398
13.58,0.01539
13.59,0.01707
13.6,0.01908
13.61,0.02153
13.62,0.02456
13.63,0.02834
13.64,0.03315
13.65,0.0394
13.66,0.04771
13.67,0.0591
13.68,0.07534
13.69,0.10006
13.7,0.14464
13.71,0.25261
13.72,0.54408
13.73,1.16639
13.74,1.98475
13.75,2.24721
13.76,1.78771
13.77,1.47118
13.78,1.34223
13.79,0.95876
13.8,0.52032
13.81,0.25344
13.82,0.13814
13.83,0.09211
13.84,0.06916
13.85,0.05476
13.86,0.04478
13.87,0.03758
13.88,0.03223
13.89,0.0282
13.9,0.0251
13.91,0.02272
13.92,0.0209
13.93,0.01951
13.94,0.01851
13.95,0.01783
13.96,0.01745
13.97,0.01737
13.98,0.01758
13.99,0.01813
14,0.019
14.01,0.02039
14.02,0.02238
14.03,0.02514
14.04,0.02905
14.05,0.03463
14.06,0.04281
14.07,0.05567
14.08,0.08003
14.09,0.14127
14.1,0.30307
14.11,0.62851
14.12,1.01366
14.13,1.07089
14.14,0.82833
14.15,0.69577
14.16,0.64263
14.17,0.45595
14.18,0.24733
14.19,0.12202
14.2,0.06797
14.21,0.04608
14.22,0.03496
14.23,0.02789
14.24,0.02294
14.25,0.01933
14.26,0.01662
14.27,0.01453
14.28,0.0129
14.29,0.01162
14.3,0.01059
14.31,0.00978
14.32,0.00914
14.33,0.00864
14.34,0.00828
14.35,0.00803
14.36,0.00791
14.37,0.00792
14.38,0.00807
14.39,0.00839
14.4,0.00894
14.41,0.00978
14.42,0.01107
14.43,0.01305
14.44,0.01628
14.45,0.0227
14.46,0.03928
14.47,0.08211
14.48,0.16408
14.49,0.25244
14.5,0.25277
14.51,0.19232
14.52,0.1646
14.53,0.15413
14.54,0.1099
14.55,0.06045
14.56,0.03079
14.57,0.01794
14.58,0.01272
14.59,0.01003
14.6,0.00832
14.61,0.00712
14.62,0.00625
14.63,0.00561
14.64,0.00512
14.65,0.00475
14.66,0.00447
14.67,0.00427
14.68,0.00413
14.69,0.00405
14.7,0.00402
14.71,0.00405
14.72,0.00413
14.73,0.00429
14.74,0.00453
14.75,0.00488
14.76,0.00537
14.77,0.00607
14.78,0.00707
14.79,0.00855
14.8,0.01092
14.81,0.01556
14.82,0.02738
14.83,0.0575
14.84,0.11457
14.85,0.17526
14.86,0.17436
14.87,0.13153
14.88,0.1122
14.89,0.10763
14.9,0.07939
14.91,0.0445
14.92,0.02268
14.93,0.01293
14.94,0.009
14.95,0.00705
14.96,0.00583
14.97,0.005
14.98,0.0044
14.99,0.00397
15,0.00365
15.01,0.00342
15.02,0.00326
15.03,0.00316
15.04,0.0031
15.05,0.00309
15.06,0.00313
15.07,0.00322
15.08,0.00337
15.09,0.00358
15.1,0.00389
15.11,0.00431
15.12,0.00489
15.13,0.00572
15.14,0.00693
15.15,0.00882
15.16,0.01236
15.17,0.02102
15.18,0.04341
15.19,0.08824
15.2,0.14223
15.21,0.15153
15.22,0.11516
15.23,0.09363
15.24,0.09179
15.25,0.07408
15.26,0.04397
15.27,0.02258
15.28,0.01238
15.29,0.00825
15.3,0.00633
15.31,0.00518
15.32,0.00441
15.33,0.00386
15.34,0.00346
15.35,0.00317
15.36,0.00295
15.37,0.0028
15.38,0.00269
15.39,0.00261
15.4,0.00258
15.41,0.00258
15.42,0.00261
15.43,0.00267
15.44,0.00278
15.45,0.00294
15.46,0.0031
15.47,0.00342
15.48,0.00391
15.49,0.0046
15.5,0.00576
15.51,0.0083
15.52,0.01493
15.53,0.02978
15.54,0.05232
15.55,0.06587
15.56,0.05485
15.57,0.04162
15.58,0.03933
15.59,0.03704
15.6,0.02585
15.61,0.01499
15.62,0.00893
15.63,0.00646
15.64,0.00551
15.65,0.00511
15.66,0.00493
15.67,0.00491
15.68,0.00499
15.69,0.00517
15.7,0.00543
15.71,0.00578
15.72,0.00623
15.73,0.00678
15.74,0.00747
15.75,0.00833
15.76,0.00939
15.77,0.01074
15.78,0.01245
15.79,0.0147
15.8,0.01768
15.81,0.02178
15.82,0.02765
15.83,0.03666
15.84,0.05318
15.85,0.09274
15.86,0.19362
15.87,0.3958
15.88,0.6445
15.89,0.69628
15.9,0.52563
15.91,0.4146
15.92,0.41451
15.93,0.36353
15.94,0.22841
15.95,0.11863
15.96,0.06204
15.97,0.03864
15.98,0.02825
15.99,0.02238
16,0.0185
16.01,0.01581
16.02,0.01389
16.03,0.01253
16.04,0.01157
