2theta,I
3.5E-4,48
4E-5,48
0.00434,48
7E-4,48
0.00256,48
0.03159,24
0.0115,48
9.4E-4,48
0.00738,48
0.0059,24
6E-5,24
0.02168,48
1E-4,48
0.00127,48
0.01569,24
0.00571,48
4.6E-4,48
0.00665,48
0.00212,48
8.1E-4,24
0.02011,48
0.00143,48
0.0101,48
0.01076,48
5E-5,48
0.02955,48
0.00103,24
0.0033,48
0.00106,48
4E-4,24
0.01001,48
7.1E-4,48
0.00501,48
3.7E-4,48
3E-5,48
7.7E-4,48
0.08011,48
0.00589,48
0.02685,48
0.01465,48
5.1E-4,24
0.01543,48
1.8E-4,48
1E-5,48
3.8E-4,48
0.03984,48
0.00292,48
0.01333,48
0.01063,48
0.00538,24
0.01168,24
0.00764,48
0.03307,48
0.00221,48
0.00528,48
0.00267,24
0.0058,24
0.00168,24
0.0078,48
0.0049,48
0.00125,48
0.00773,48
0.00413,48
4.6E-4,48
3E-5,48
0.01643,48
0.00109,48
0.04228,48
8.4E-4,24
0.00387,48
0.00243,48
6.2E-4,48
0.00383,48
0.00205,48
2.3E-4,48
2E-5,48
0.00792,48
0.00328,48
8E-5,48
0.00707,48
0.021,48
0.00393,48
0.00163,48
4E-5,48
0.00351,48
0.00578,48
0.00237,48
0.00272,48
0.02843,48
0.00474,24
0.00259,6
0.00287,48
0.00118,48
0.00136,48
0.01414,48
0.00229,48
1.7E-4,48
0.00451,48
0.00176,24
0.00292,24
0.02058,12
0.00234,24
0.00129,6
8.7E-4,24
0.01121,24
0.004,48
0.00114,48
8E-5,48
0.00224,48
8.7E-4,24
0.00145,24
0.01024,12
0.02062,48
0.02748,24
8.6E-4,48
0.00124,48
0.03546,24
4.3E-4,24
0.00558,24
0.00198,48
0.01889,48
0.00389,48
0.0147,48
0.00605,24
0.00641,24
0.01024,48
0.01368,24
4.2E-4,48
6.1E-4,48
0.01763,24
0.00347,48
0.02209,24
0.00501,48
1.2E-4,48
0.0015,48
0.00941,48
0.00193,48
0.0073,48
0.00301,24
0.0032,24
0.00878,8
0.01119,48
0.00173,48
0.01099,24
0.00248,48
6E-5,48
7.5E-4,48
0.04171,48
0.0048,48
0.00678,48
1.6E-4,48
0.0717,48
0.00437,8
0.00554,48
0.00899,24
0.02076,48
0.00238,48
0.00338,48
8E-5,48
0.03563,48
0.00168,48
0.02592,24
0.00725,48
2E-5,48
0.01071,24
0.00145,48
1E-5,48
8.3E-4,48
1.7E-4,24
0.01521,24
0.00445,24
9.5E-4,24
0.00961,48
0.01191,48
0.05355,48
8.4E-4,48
0.01288,24
0.0036,48
1E-5,48
0.00533,24
7.2E-4,48
1E-5,48
4.1E-4,48
0.00756,24
9E-5,24
0.00202,48
0.00308,48
4.8E-4,24
0.00478,48
0.00593,48
0.02661,48
0.02693,24
0.00495,48
1E-4,48
0.00101,48
0.00152,48
0.00116,48
0.02017,48
1E-5,48
0.03161,48
0.00483,48
0.00776,48
0.01337,24
0.00247,48
5E-5,48
5.8E-4,48
0.01004,48
0.0157,48
1E-5,48
0.00241,48
0.00385,48
0.00698,48
0.00116,48
0.00725,48
0.00852,24
0.00365,48
0.00348,48
5.8E-4,48
0.0036,48
1.4E-4,24
0.03889,48
1E-4,48
0.00138,24
0.00422,24
0.00183,48
0.00404,24
0.02814,24
0.00238,48
0.02228,24
4E-5,24
7E-5,24
0.01934,48
5E-5,48
6.9E-4,24
0.00447,48
4E-5,48
0.03219,48
0.02317,48
1.2E-4,24
0.02224,48
0.00237,48
2.4E-4,48
9.2E-4,48
0.00201,24
0.01398,24
0.00119,48
0.01106,24
2E-5,24
3E-5,48
0.00663,48
0.00222,48
2E-5,48
0.01601,48
0.01153,48
6E-5,24
0.01105,48
0.00118,48
1.2E-4,48
4.5E-4,48
9E-5,48
0.00151,48
0.00882,48
2E-5,48
0.0033,48
0.00253,48
0.01346,48
4E-5,48
7.5E-4,48
0.00438,48
0.00873,48
7E-4,48
0.01042,48
0.00127,48
0.00672,48
0.00433,48
3.5E-4,48
0.00517,48
0.00313,48
0.02583,24
7.2E-4,48
0.01891,48
8.9E-4,48
0.00192,48
4.5E-4,48
5.6E-4,48
0.00743,48
6.2E-4,24
2.9E-4,48
0.00115,24
0.00155,48
0.01284,24
3.6E-4,48
0.00939,48
4.4E-4,48
9.5E-4,48
2.3E-4,48
2.8E-4,48
0.0037,48
3.1E-4,24
0.01013,48
0.00548,48
6.6E-4,48
7.4E-4,48
0.02706,48
1.4E-4,48
5.7E-4,24
0.00375,48
1.1E-4,48
0.00505,48
0.00272,48
3.3E-4,48
3.7E-4,48
0.01346,48
2.2E-4,48
0.04242,48
0,48
0.00931,24
0.00186,48
5E-5,48
1.1E-4,48
0.02108,48
0.00462,24
0,48
6.1E-4,48
4E-5,48
0.00376,48
0.00297,48
0.01208,48
0.00338,24
0.00188,48
0.00148,48
2E-5,48
3.1E-4,48
0.00599,48
2.4E-4,48
0.00126,48
0.00687,24
7.1E-4,24
9.5E-4,48
0.00167,24
0.00371,48
0.00171,48
0.03598,48
0.00211,48
1.2E-4,48
6.3E-4,48
0.00341,24
3.5E-4,24
4.8E-4,48
4.1E-4,48
0.00782,24
6E-5,48
2.8E-4,48
0.00806,24
0.00184,48
8.5E-4,48
0.01788,48
0.00105,48
0.0103,12
0.00419,24
0.02703,24
0.03104,48
2E-4,48
0.00388,24
3E-5,48
1.4E-4,48
0.004,24
0.00696,48
6.1E-4,24
0.04063,24
0.05617,48
0.00137,48
0.00461,48
1.1E-4,48
0.00816,48
1.2E-4,24
0.00512,12
0.00207,24
0.01343,24
0.01542,48
0.03812,24
0.00345,48
3E-4,24
0.02019,24
0.02793,48
6.8E-4,48
0.00229,48
6E-5,48
0.00405,48
6E-5,24
0.00195,48
0.0668,48
0.00849,48
7.9E-4,48
0.01353,48
0.01265,48
1.5E-4,48
0.01892,24
0.01203,24
0.01564,24
0.00222,48
9.7E-4,48
0.03318,48
0.00421,48
3.9E-4,48
0.00672,48
0.00629,48
8E-5,48
0.02716,48
0.00601,48
0.006,24
0.00776,24
0.00109,48
0.00743,48
0.0097,48
0.01352,48
0.00298,48
6E-4,24
0.01057,48
0.00771,48
0.00144,48
0.00116,48
4.3E-4,48
0.00369,48
0.00482,48
0.03877,48
0.00569,24
0.00764,48
3E-4,24
0.00525,48
0.00384,48
7.1E-4,48
5.8E-4,48
2.1E-4,48
0.00934,24
0.0042,48
0.03575,48
0.03015,48
3.2E-4,48
2.1E-4,48
3.1E-4,48
0.00466,48
0.01926,48
0.00283,24
0.0038,48
0.00464,24
0.00209,48
0.01775,48
0.015,48
1.6E-4,48
1.1E-4,48
1.5E-4,48
0.00231,48
0.01786,48
0.00184,48
0.00985,48
0.03306,48
0.00886,48
9.2E-4,48
0.00489,48
0.01467,48
0.00234,48
2.7E-4,48
0.03223,24
3.5E-4,48
0.00591,48
0.00452,24
0.0164,48
0.00728,48
1.5E-4,24
0.00157,6
0.0073,48
0.00117,48
1.3E-4,48
0.01602,24
1.7E-4,48
0.00293,48
0.00224,24
7.5E-4,48
0.00613,48
0.0206,24
0.00182,48
0.00906,48
0.00137,24
0.00362,48
7E-5,24
7.8E-4,6
2.2E-4,24
0.0138,48
0.00215,24
2.1E-4,48
3.7E-4,48
0.00304,48
0.01024,24
9E-4,48
0.0045,48
6.8E-4,24
6.8E-4,48
0.01253,48
0.04187,48
1.1E-4,24
0.00685,48
0.00107,24
1.1E-4,48
0.02807,24
0.00458,48
0.00899,24
0.01153,24
3.4E-4,48
0.00622,48
0.02081,48
0.00982,48
0.02168,48
0.00119,48
2E-5,48
2E-5,48
7.1E-4,48
0.00182,48
4.2E-4,48
0.01393,24
0.00226,48
0.00449,24
0.00572,24
0.01082,24
0.00487,48
0.01077,48
5.9E-4,48
1E-5,48
1E-5,48
