EM wavelength,EX wavelength,A1c/R1c
680,500,7031.7972962191
685,500,6494.00552657362
690,500,6127.70256155119
695,500,6452.41607635426
700,500,7464.74938609801
705,500,8561.14774020767
710,500,9148.05990160008
715,500,9376.21723503757
720,500,8003.34715125125
725,500,6084.41682910407
730,500,4299.4563584277
735,500,3197.17889323092
740,500,2353.34274892037
745,500,1790.30084132708
750,500,1489.43152957673
630,505,6304.28767193973
635,505,11331.4110083496
640,505,25036.3137828415
645,505,42169.2662311564
650,505,47056.7347139163
655,505,42096.0433960359
660,505,32251.2681451827
665,505,22230.9577633109
670,505,15112.5559014127
675,505,11278.0569577425
680,505,9431.60801893206
685,505,8506.03388844508
690,505,8295.40141596483
695,505,8557.16909438308
700,505,10030.1693582319
705,505,11643.0476268931
710,505,12316.9585681673
715,505,12856.4255274707
720,505,11080.9720883301
725,505,8363.10378552063
730,505,5846.10323127638
735,505,4115.18476120963
740,505,2932.82532884714
745,505,2311.96546109235
750,505,1746.48303873095
630,510,6814.77295552569
635,510,12448.1109809451
640,510,30004.6129160533
645,510,50641.6058698007
650,510,56792.1721460111
655,510,50951.9733941173
660,510,39070.1598181321
665,510,26880.4309616815
670,510,18058.6235309653
675,510,13374.550143689
680,510,11147.3860417281
685,510,10097.1547553043
690,510,9601.32103040797
695,510,10165.9396479974
700,510,11917.8258134869
705,510,13864.3754744444
710,510,15395.2406861507
715,510,15271.3534244471
720,510,13212.1099713303
725,510,9877.51686763894
730,510,7005.30684707035
735,510,4841.5739428668
740,510,3534.32831253875
745,510,2531.7683210579
750,510,2124.0814246341
630,515,6558.50748032292
635,515,12333.3819598118
640,515,29329.9209186794
645,515,51013.8404420849
650,515,58623.9932564294
655,515,52475.222831884
660,515,40167.8193583903
665,515,27884.5470144218
670,515,18819.9677620373
675,515,13588.4413284714
680,515,11269.8663758087
685,515,10344.4431021602
690,515,9972.38249949869
695,515,10482.8857583538
700,515,12123.6415100321
705,515,13940.422486
710,515,15309.5649687472
715,515,15431.2646880341
720,515,13331.8783312716
725,515,10208.9091655509
730,515,7079.49733237616
735,515,4920.93449550233
740,515,3497.82183401145
745,515,2606.95398013364
750,515,2027.26898100656
630,520,6254.90670898811
635,520,10777.1164035038
640,520,25209.8105443223
645,520,43322.7366254167
650,520,49898.3783846567
655,520,45000.0469063006
660,520,34046.298035481
665,520,23995.6780049577
670,520,16723.2603452554
675,520,11861.2535805467
680,520,9781.72816089181
685,520,8840.31511814004
690,520,8660.80884884889
695,520,8858.572759214
700,520,9958.81375815864
705,520,11678.150743403
710,520,12487.3245395882
715,520,12929.0487378256
720,520,11349.2396499876
725,520,8759.10681068454
730,520,6027.92948372359
735,520,4309.7977849137
740,520,3130.78867326629
745,520,2266.43588885117
750,520,1739.51092915267
630,525,5432.90110270347
635,525,8198.7719103989
640,525,18364.2174899182
645,525,31221.4742151334
650,525,35936.3155769928
655,525,33040.0617630875
660,525,25905.1380131734
665,525,17818.0209173278
670,525,12560.4407710201
675,525,9123.04732304238
680,525,7518.6160339518
685,525,6761.81531075056
690,525,6489.84127623905
695,525,6753.41745650376
700,525,7539.00907977234
705,525,8564.23560070762
710,525,9150.7947447245
715,525,9551.77077982814
720,525,8543.25529382422
725,525,6385.46073166849
730,525,4624.8443099678
735,525,3291.43217692143
740,525,2397.98088708425
745,525,1846.19259149061
750,525,1442.47964365344
630,530,4821.66877160524
635,530,6547.47456683079
640,530,13004.8256105306
645,530,21384.7468380905
650,530,24501.2799924128
655,530,22895.9229804339
660,530,17949.6435569572
665,530,12582.3186575746
670,530,8987.2922358892
675,530,6507.73342653001
680,530,5403.54701211491
685,530,4903.52360189348
690,530,4726.895035547
695,530,4864.42102688942
700,530,5449.11922924248
705,530,6065.68620661901
710,530,6421.9929524697
715,530,6639.45890735465
720,530,5807.75011634636
725,530,4482.7619931771
730,530,3366.48236482003
735,530,2396.88131975997
740,530,1838.25193669586
745,530,1364.27292575515
750,530,1119.59737786871
630,535,4339.30051000038
635,535,6235.09488780327
640,535,12236.4620884921
645,535,19025.6656644327
650,535,21868.6549030521
655,535,20190.7832117838
660,535,15719.2525836747
665,535,10998.0844629052
670,535,7812.56173746768
675,535,5763.5586603326
680,535,4846.93358211178
685,535,4644.16940550441
690,535,4065.75054701704
695,535,4232.39161018204
700,535,4781.48853643298
705,535,5420.26114586075
710,535,5774.95322412385
715,535,5939.298069278
720,535,5069.80684176422
725,535,3937.39608311526
730,535,2924.25780995958
735,535,2128.8957137609
740,535,1542.2673052226
745,535,1214.33628873885
750,535,1055.05483262445
630,540,4238.96919786363
635,540,6872.30122447257
640,540,14845.1930699559
645,540,24734.1805944618
650,540,27432.7783721479
655,540,24975.5210686245
660,540,19366.5835007838
665,540,13758.8395448323
670,540,9182.16229155049
