lambda,90,170,lambda,230
354,0.240506329113924,0.163755458515284,254,--
355,0.234177215189873,0.163755458515284,255,--
356,0.221518987341772,0.157205240174672,256,--
357,0.234177215189873,0.161572052401747,257,--
358,0.221518987341772,0.157205240174672,258,--
359,0.221518987341772,0.168122270742358,259,--
360,0.227848101265823,0.170305676855895,260,--
361,0.227848101265823,0.170305676855895,261,--
362,0.221518987341772,0.170305676855895,262,--
363,0.221518987341772,0.172489082969432,263,--
364,0.221518987341772,0.174672489082969,264,--
365,0.227848101265823,0.179039301310044,265,--
366,0.227848101265823,0.179039301310044,266,--
367,0.227848101265823,0.181222707423581,267,--
368,0.221518987341772,0.183406113537118,268,--
369,0.227848101265823,0.185589519650655,269,--
370,0.227848101265823,0.185589519650655,270,--
371,0.227848101265823,0.185589519650655,271,--
372,0.221518987341772,0.185589519650655,272,--
373,0.227848101265823,0.187772925764192,273,--
374,0.227848101265823,0.189956331877729,274,--
375,0.234177215189873,0.192139737991266,275,--
376,0.227848101265823,0.194323144104803,276,--
377,0.234177215189873,0.196506550218341,277,--
378,0.234177215189873,0.198689956331878,278,--
379,0.234177215189873,0.200873362445415,279,--
380,0.234177215189873,0.205240174672489,280,--
381,0.234177215189873,0.209606986899563,281,--
382,0.240506329113924,0.216157205240175,282,--
383,0.240506329113924,0.222707423580786,283,--
384,0.246835443037975,0.229257641921397,284,--
385,0.246835443037975,0.237991266375546,285,--
386,0.253164556962025,0.248908296943231,286,--
387,0.259493670886076,0.262008733624454,287,--
388,0.265822784810127,0.275109170305677,288,--
389,0.272151898734177,0.292576419213974,289,--
390,0.278481012658228,0.310043668122271,290,--
391,0.284810126582278,0.334061135371179,291,--
392,0.29746835443038,0.35589519650655,292,--
393,0.310126582278481,0.379912663755458,293,--
394,0.329113924050633,0.403930131004367,294,--
395,0.341772151898734,0.430131004366812,295,--
396,0.360759493670886,0.456331877729258,296,--
397,0.379746835443038,0.480349344978166,297,--
398,0.405063291139241,0.504366812227074,298,--
399,0.430379746835443,0.526200873362445,299,--
400,0.455696202531646,0.548034934497816,300,0.242345838723588
401,0.474683544303797,0.565502183406113,301,0.2501078050884
