Chan	Prompt	Decay	Fit	Residuals
386	0	2611	2691.635	-1.431727
387	0	2540	2678.888	-2.503464
388	0	2673	2666.202	0.1191707
389	0	2663	2653.576	0.1655414
390	0	2592	2641.01	-0.8736771
391	0	2634	2628.503	9.712905E-02
392	0	2592	2616.057	-0.4288501
393	0	2619	2603.669	0.2717589
394	0	2600	2591.34	0.1541179
395	0	2513	2579.07	-1.197876
396	0	2515	2566.858	-0.9397992
397	0	2491	2554.704	-1.160532
398	0	2512	2542.608	-0.5550557
399	0	2369	2530.569	-3.025046
400	0	2488	2518.587	-0.557596
401	0	2492	2506.663	-0.2670636
402	0	2505	2494.795	0.1853448
403	0	2430	2482.983	-0.9783652
404	0	2459	2471.228	-0.2243415
405	0	2307	2459.529	-2.897291
406	0	2447	2447.885	-1.627569E-02
407	0	2416	2436.296	-0.3759601
408	0	2422	2424.762	-5.110179E-02
409	0	2346	2413.284	-1.266456
410	0	2286	2401.86	-2.211731
411	0	2352	2390.49	-0.7234675
412	0	2353	2379.174	-0.4918623
413	0	2348	2367.912	-0.37462
414	0	2345	2356.703	-0.2203348
415	0	2272	2345.548	-1.408706
416	0	2228	2334.446	-2.060595
417	0	2266	2323.396	-1.100921
418	0	2265	2312.399	-0.9093793
419	0	2277	2301.454	-0.4678248
420	0	2236	2290.561	-1.054149
421	0	2158	2279.72	-2.39747
422	0	2291	2268.931	0.420798
423	0	2265	2258.192	0.1306139
424	0	2272	2247.505	0.4691651
425	0	2270	2236.869	0.6348885
426	0	2277	2226.282	0.9702634
427	0	2241	2215.747	0.4873088
428	0	2259	2205.261	1.032501
429	0	2168	2194.826	-0.5270549
430	0	2199	2184.44	0.2838736
431	0	2225	2174.103	0.9859951
432	0	2257	2163.815	1.791257
433	0	2168	2153.577	0.2833785
434	0	2221	2143.386	1.505028
435	0	2144	2133.245	0.2125931
436	0	2097	2123.151	-0.5231633
437	0	2160	2113.106	0.9231922
438	0	2174	2103.108	1.39075
439	0	2173	2093.157	1.566724
440	0	2064	2083.254	-0.3885125
441	0	2221	2073.398	2.862188
442	0	2106	2063.589	0.8464662
443	0	2101	2053.827	0.9427329
444	0	2065	2044.111	0.4213929
445	0	2038	2034.441	0.0723168
446	0	1948	2024.817	-1.599273
447	0	2044	2015.238	0.5834208
448	0	2034	2005.705	0.5754707
449	0	1995	1996.218	-2.503103E-02
450	0	2064	1986.776	1.558225
451	0	1972	1977.378	-0.1112264
452	0	1999	1968.025	0.6359297
453	0	2008	1958.717	1.009354
454	0	1934	1949.452	-0.3229659
455	0	1900	1940.232	-0.8489722
456	0	1977	1931.056	0.9489182
457	0	1951	1921.923	0.6048651
458	0	1945	1912.834	0.6702425
459	0	1975	1903.787	1.471613
460	0	1922	1894.784	0.5707463
461	0	1899	1885.824	0.2781266
462	0	1878	1876.906	2.323623E-02
463	0	1808	1868.03	-1.30114
464	0	1843	1859.197	-0.3474523
465	0	1799	1850.405	-1.117202
466	0	1887	1841.656	0.9604034
467	0	1797	1832.948	-0.7817272
468	0	1796	1824.281	-0.6151918
469	0	1811	1815.656	-0.1008198
470	0	1843	1807.071	0.7707401
471	0	1778	1798.527	-0.4489592
472	0	1780	1790.024	-0.2191127
473	0	1794	1781.562	0.2707281
474	0	1723	1773.139	-1.115321
475	0	1776	1764.757	0.2460528
476	0	1659	1756.414	-2.211505
477	1	1723	1748.111	-0.5585849
478	0	1757	1739.848	0.3775506
479	0	1726	1731.623	-0.1249699
480	0	1692	1723.438	-0.7061926
481	1	1685	1715.292	-0.6819613
482	0	1618	1707.184	-2.052087
483	0	1685	1699.115	-0.317782
484	1	1607	1691.085	-1.94185
485	0	1608	1683.092	-1.733597
486	0	1623	1675.138	-1.197676
487	0	1566	1667.221	-2.370255
488	1	1528	1659.342	-3.116379
489	0	1558	1651.5	-2.195482
490	0	1619	1643.696	-0.5680487
491	0	1620	1635.928	-0.3662624
492	0	1651	1628.198	0.5189999
493	0	1591	1620.504	-0.6850412
494	0	1611	1612.847	-4.260146E-02
495	1	1568	1605.226	-0.8711204
496	0	1632	1597.642	0.7869089
497	0	1599	1590.093	0.2062409
498	0	1576	1582.581	-0.1535719
499	1	1500	1575.104	-1.799762
500	0	1602	1567.662	0.7943199
501	0	1611	1560.256	1.170307
502	0	1591	1552.885	0.8849567
503	0	1567	1545.55	0.5021218
504	0	1592	1538.249	1.247598
505	0	1516	1530.982	-0.3569977
506	0	1496	1523.751	-0.6659588
507	0	1498	1516.553	-0.4449213
508	1	1475	1509.39	-0.8315659
509	0	1514	1502.261	0.2799154
510	0	1553	1495.166	1.360356
511	0	1495	1488.104	0.1655493
512	0	1514	1481.076	0.7850625
513	0	1391	1474.081	-2.072984
514	0	1431	1467.12	-0.8876721
515	0	1427	1460.192	-0.8169317
516	0	1530	1453.296	1.818692
517	0	1426	1446.434	-0.5031118
518	0	1314	1439.604	-3.230784
519	0	1440	1432.806	0.1762077
520	0	1406	1426.041	-0.4971797
521	0	1433	1419.308	0.3362488
522	0	1362	1412.606	-1.276996
523	1	1314	1405.937	-2.364812
524	0	1405	1399.3	0.1414735
525	1	1375	1392.693	-0.4442139
526	1	1374	1386.119	-0.3043763
527	0	1401	1379.575	0.5325263
528	0	1400	1373.063	0.6697958
529	0	1254	1366.582	-2.96894
530	0	1278	1360.131	-2.144131
531	1	1345	1353.711	-0.2212968
532	1	1296	1347.322	-1.329855
533	1	1224	1340.963	-3.124527
534	1	1318	1334.634	-0.4271648
535	0	1284	1328.335	-1.154531
536	0	1220	1322.066	-2.731346
537	0	1319	1315.827	8.144698E-02
538	0	1322	1309.618	0.3174685
539	0	1298	1303.438	-0.1407875
540	0	1326	1297.287	0.7349757
541	1	1311	1291.166	0.5107968
542	0	1249	1285.074	-0.953343
543	0	1284	1279.01	0.1299349
544	1	1221	1272.976	-1.390293
545	0	1204	1266.97	-1.697
546	0	1294	1260.993	0.855988
547	0	1266	1255.044	0.28746
548	0	1319	1249.123	1.793729
549	0	1265	1243.231	0.5714134
550	0	1225	1237.366	-0.3302124
551	0	1317	1231.53	2.195792
552	1	1174	1225.721	-1.41269
553	0	1193	1219.94	-0.7295623
554	1	1244	1214.186	0.7896018
555	0	1215	1208.459	0.1754111
556	1	1229	1202.76	0.699445
557	0	1191	1197.088	-0.1650187
558	0	1205	1191.443	0.3651938
559	0	1262	1185.824	2.002057
560	1	1227	1180.233	1.247706
561	0	1232	1174.668	1.526262
562	0	1219	1169.129	1.335156
563	0	1210	1163.617	1.246694
564	1	1122	1158.13	-1.010918
565	1	1130	1152.67	-0.6319195
566	0	1217	1147.236	1.869361
567	0	1128	1141.828	-0.3858075
568	1	1165	1136.445	0.7831334
569	0	1169	1131.088	1.037863
570	0	1156	1125.757	0.832873
571	3	1075	1120.45	-1.300918
572	0	1112	1115.169	-8.910246E-02
573	0	1127	1109.913	0.4769472
574	0	1104	1104.682	-1.925731E-02
575	1	1092	1099.476	-0.212218
576	0	1066	1094.295	-0.8135013
577	0	1118	1089.138	0.8090739
578	0	1061	1084.006	-0.6630923
