,MOF-230
1.2E-5,0.0447278939779475
1.22E-5,0.0400219939779474
1.24E-5,0.0353160939779474
1.26E-5,0.0353160939779474
1.28E-5,0.0337474939779475
1.3E-5,0.0353160939779474
1.32E-5,0.0384533939779474
1.34E-5,0.0337474939779475
1.36E-5,0.0337474939779475
1.38E-5,0.0321787939779474
1.4E-5,0.0290415939779475
1.42E-5,0.0306101939779475
1.44E-5,0.0306101939779475
1.46E-5,0.0306101939779475
1.48E-5,0.0290415939779475
1.5E-5,0.0290415939779475
1.52E-5,0.0274729939779474
1.54E-5,0.0227670939779475
1.56E-5,0.0211983939779474
1.58E-5,0.0274729939779474
1.6E-5,0.0259042939779475
1.62E-5,0.0243356939779474
1.64E-5,0.0259042939779475
1.66E-5,0.0259042939779475
1.68E-5,0.0227670939779475
1.7E-5,0.0274729939779474
1.72E-5,0.0196297939779475
1.74E-5,0.0180611939779475
1.76E-5,0.0180611939779475
1.78E-5,0.0180611939779475
1.8E-5,0.0227670939779475
1.82E-5,0.0243356939779474
1.84E-5,0.0259042939779475
1.86E-5,0.0196297939779475
1.88E-5,0.0211983939779474
1.9E-5,0.0227670939779475
1.92E-5,0.0196297939779475
1.94E-5,0.0164924939779474
1.96E-5,0.0133552939779474
1.98E-5,0.0117866939779475
2E-5,0.0149238939779475
2.02E-5,0.0102179939779474
2.04E-5,0.0133552939779474
2.06E-5,0.0164924939779474
2.08E-5,0.0133552939779474
2.1E-5,0.0117866939779475
2.12E-5,0.0117866939779475
2.14E-5,0.0117866939779475
2.16E-5,0.0102179939779474
2.18E-5,0.0102179939779474
2.2E-5,0.0149238939779475
2.22E-5,0.0211983939779474
2.24E-5,0.0211983939779474
2.26E-5,0.0164924939779474
2.28E-5,0.0117866939779475
2.3E-5,0.0133552939779474
2.32E-5,0.0117866939779475
2.34E-5,0.0133552939779474
2.36E-5,0.0149238939779475
2.38E-5,0.0133552939779474
2.4E-5,0.0133552939779474
2.42E-5,0.0149238939779475
2.44E-5,0.0149238939779475
2.46E-5,0.0164924939779474
2.48E-5,0.0149238939779475
2.5E-5,0.0117866939779475
2.52E-5,0.00708079397794747
2.54E-5,0.0133552939779474
2.56E-5,0.00864939397794745
2.58E-5,0.0117866939779475
2.6E-5,0.00708079397794747
2.62E-5,0.00551209397794744
2.64E-5,0.00394349397794747
2.66E-5,0.00864939397794745
2.68E-5,0.0117866939779475
2.7E-5,0.0149238939779475
2.72E-5,0.0149238939779475
2.74E-5,0.0133552939779474
2.76E-5,0.00864939397794745
2.78E-5,0.00708079397794747
2.8E-5,0.00237489397794743
2.82E-5,0.00864939397794745
2.84E-5,0.00864939397794745
2.86E-5,0.00864939397794745
2.88E-5,0.00708079397794747
2.9E-5,0.00708079397794747
2.92E-5,0.0117866939779475
2.94E-5,0.0180611939779475
2.96E-5,0.0102179939779474
2.98E-5,0.00864939397794745
3E-5,0.00551209397794744
3.02E-5,0.00708079397794747
3.04E-5,0.00708079397794747
3.06E-5,0.00237489397794743
3.08E-5,0.00551209397794744
3.1E-5,0.0133552939779474
3.12E-5,0.00864939397794745
3.14E-5,0.0102179939779474
3.16E-5,0.0149238939779475
3.18E-5,0.0133552939779474
3.2E-5,0.00864939397794745
3.22E-5,0.0102179939779474
3.24E-5,0.00708079397794747
3.26E-5,0.0133552939779474
3.28E-5,0.00708079397794747
3.3E-5,0.00394349397794747
3.32E-5,0.00708079397794747
3.34E-5,0.00237489397794743
3.36E-5,0.00394349397794747
3.38E-5,0.00551209397794744
3.4E-5,0.00864939397794745
3.42E-5,0.00864939397794745
3.44E-5,0.00864939397794745
3.46E-5,0.0102179939779474
3.48E-5,0.00708079397794747
3.5E-5,0.00551209397794744
3.52E-5,0.00708079397794747
3.54E-5,8.06193977947456E-4
3.56E-5,0.00237489397794743
3.58E-5,0.00551209397794744
3.6E-5,0.00394349397794747
3.62E-5,0.00708079397794747
3.64E-5,0.00237489397794743
3.66E-5,0.00551209397794744
3.68E-5,0.00864939397794745
3.7E-5,0.00708079397794747
3.72E-5,0.00551209397794744
3.74E-5,0.00237489397794743
3.76E-5,0.00237489397794743
3.78E-5,0.00551209397794744
3.8E-5,0.00237489397794743
3.82E-5,8.06193977947456E-4
3.84E-5,-7.62406022052575E-4
3.86E-5,0.00237489397794743
3.88E-5,0.00237489397794743
3.9E-5,0.00394349397794747
3.92E-5,0.00551209397794744
3.94E-5,0.00708079397794747
3.96E-5,0.00394349397794747
3.98E-5,0.00708079397794747
4E-5,0.00708079397794747
4.02E-5,0.00551209397794744
4.04E-5,0.00551209397794744
4.06E-5,0.00394349397794747
4.08E-5,0.00394349397794747
4.1E-5,0.00708079397794747
4.12E-5,0.00708079397794747
4.14E-5,0.00864939397794745
4.16E-5,0.0102179939779474
4.18E-5,0.0133552939779474
4.2E-5,0.0149238939779475
4.22E-5,0.0133552939779474
4.24E-5,0.00551209397794744
4.26E-5,0.0133552939779474
4.28E-5,0.0133552939779474
4.3E-5,0.0133552939779474
4.32E-5,0.00864939397794745
4.34E-5,0.00551209397794744
4.36E-5,0.00708079397794747
4.38E-5,0.00708079397794747
4.4E-5,8.06193977947456E-4
4.42E-5,8.06193977947456E-4
4.44E-5,0.0102179939779474
4.46E-5,0.00864939397794745
4.48E-5,0.00551209397794744
4.5E-5,0.00551209397794744
4.52E-5,0.00551209397794744
4.54E-5,0.00864939397794745
4.56E-5,0.00708079397794747
4.58E-5,0.00708079397794747
4.6E-5,8.06193977947456E-4
4.62E-5,8.06193977947456E-4
4.64E-5,0.00708079397794747
4.66E-5,0.00394349397794747
4.68E-5,0.00394349397794747
4.7E-5,8.06193977947456E-4
4.72E-5,0.00551209397794744
