No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD
561,18.5699,26.3514, , ,195.2635,109.9935
562,18.5959,38.1380, , ,195.2635,110.0067
563,18.6219,8.0811, , ,195.2635,109.8295
564,18.6479,-70.0363, , ,195.2635,109.4327
565,18.6739,-126.9846, , ,195.2635,109.1315
566,18.6999,-89.6970, , ,195.2635,109.2615
567,18.7259,-14.7086, , ,195.2635,109.5636
568,18.7519,40.2257, , ,195.2635,109.7735
569,18.7779,3.4996, , ,195.2635,109.6061
570,18.8039,24.1089, , ,195.2635,109.7001
571,18.8299,88.0319, , ,195.2635,109.9911
572,18.8559,106.9159, , ,195.2635,110.0769
573,18.8819,30.8225, , ,195.2635,109.7307
574,18.9079,37.5273, , ,195.2635,109.7612
575,18.9339,97.5287, , ,195.2635,110.0342
576,18.9599,260.0102, , ,195.2635,110.7701
577,18.9859,275.3837, , ,195.2635,110.8394
578,19.0119,272.8730, , ,195.2635,110.8281
579,19.0379,344.8780, , ,195.2635,111.1525
580,19.0639,317.6313, , ,195.2635,111.0299
581,19.0899,440.8207, , ,195.2635,111.5832
582,19.1159,368.8445, , ,195.2635,111.2603
583,19.1419,146.1469, , ,195.2635,110.2549
584,19.1679,114.4750, , ,195.2635,110.1112
585,19.1939,-9.6893, , ,195.2635,109.5459
586,19.2199,-27.6862, , ,195.2635,109.4638
587,19.2459,74.5047, , ,195.2635,109.8891
588,19.2719,-62.8639, , ,195.2635,109.2216
589,19.2979,-85.4587, , ,195.2635,109.0774
590,19.3239,-82.5167, , ,195.2635,109.0501
591,19.3499,-84.6091, , ,195.2635,108.9998
592,19.3759,-30.2875, , ,195.2635,109.2080
593,19.4019,55.4098, , ,195.2635,109.5591
594,19.4279,-5.8365, , ,195.2635,109.2385
595,19.4539,-103.3561, , ,195.2635,108.7504
596,19.4799,37.2069, , ,195.2635,109.3866
597,19.5059,102.2712, , ,195.2635,109.6755
598,19.5319,-42.1243, , ,195.2635,109.0071
599,19.5579,-55.4915, , ,195.2635,108.9376
600,19.5839,55.1866, , ,195.2635,109.4363
601,19.6099,32.7437, , ,195.2635,109.3256
602,19.6359,1.0363, , ,195.2635,109.1723
603,19.6619,21.5908, , ,195.2635,109.2583
604,19.6879,1.3911, , ,195.2635,109.1576
605,19.7139,-3.5337, , ,195.2635,109.0668
606,19.7399,0.9405, , ,195.2635,109.0191
607,19.7659,-94.2799, , ,195.2635,108.5129
608,19.7919,12.4671, , ,195.2635,108.9354
609,19.8179,55.1511, , ,195.2635,109.0629
610,19.8439,155.6132, , ,195.2635,109.4545
611,19.8699,-82.0156, , ,195.2635,108.2948
612,19.8959,-17.1528, , ,195.2635,108.5253
613,19.9219,-8.6682, , ,195.2635,108.4958
614,19.9479,-23.1028, , ,195.2635,108.5089
615,19.9739,145.2433, , ,195.2635,109.3609
616,19.9999,121.9094, , ,195.2635,109.3332
617,20.0259,86.4035, , ,195.2635,109.2498
618,20.0519,193.3701, , ,195.2635,109.8169
619,20.0779,110.0684, , ,195.2635,109.5159
620,20.1039,182.8209, , ,195.2635,109.9262
621,20.1299,268.8148, , ,195.2635,110.3949
622,20.1559,249.9847, , ,195.2635,110.3879
623,20.1819,344.3426, , ,195.2635,110.8924
624,20.2079,280.2653, , ,195.2635,110.6812
625,20.2339,354.9816, , ,195.2635,111.0960
626,20.2599,119.9974, , ,195.2635,110.1118
627,20.2859,187.6862, , ,195.2635,110.4969
628,20.3119,267.8564, , ,195.2635,110.9370
629,20.3379,231.5390, , ,195.2635,110.8512
630,20.3639,195.0060, , ,195.2635,110.7643
631,20.3899,145.5941, , ,195.2635,110.6191
632,20.4159,75.3981, , ,195.2635,110.3059
633,20.4419,69.1265, , ,195.2635,110.2820
634,20.4679,6.4369, , ,195.2635,110.0020
635,20.4939,-91.8181, , ,195.2635,109.5590
636,20.5199,-62.9140, , ,195.2635,109.6954
637,20.5459,-19.8430, , ,195.2635,109.8961
638,20.5719,-96.8930, , ,195.2635,109.5496
639,20.5979,-69.8306, , ,195.2635,109.6776
640,20.6239,46.8198, , ,195.2635,110.2126
641,20.6499,101.6813, , ,195.2635,110.5206
642,20.6759,0.0011, , ,195.2635,110.1191
643,20.7019,89.3352, , ,195.2635,110.5833
644,20.7279,211.0225, , ,195.2635,111.1911
645,20.7539,428.1129, , ,195.2635,112.2215
646,20.7799,1079.9990, , ,195.2635,115.1463
647,20.8059,1191.8630, , ,195.2635,115.6877
648,20.8319,914.0968, , ,195.2635,114.5381
649,20.8579,596.9168, , ,195.2635,113.2030
650,20.8839,319.0963, , ,195.2635,112.0277
651,20.9099,108.1126, , ,195.2635,111.1411
652,20.9359,54.7626, , ,195.2635,110.9599
653,20.9619,86.1472, , ,195.2635,111.1602
654,20.9879,25.0008, , ,195.2635,110.9439
655,21.0139,-2.8137, , ,195.2635,110.8776
656,21.0399,-65.4765, , ,195.2635,110.6540
657,21.0659,-71.7939, , ,195.2635,110.6847
658,21.0919,18.3238, , ,195.2635,111.1500
659,21.1179,60.2205, , ,195.2635,111.4818
660,21.1439,137.3467, , ,195.2635,111.9700
661,21.1699,279.3755, , ,195.2635,112.7443
662,21.1959,373.0719, , ,195.2635,113.3003
663,21.2219,430.2774, , ,195.2635,113.6931
664,21.2479,724.3158, , ,195.2635,115.1179
665,21.2739,1171.9440, , ,195.2635,117.1825
666,21.2999,1578.9560, , ,195.2635,119.0408
667,21.3259,1959.0890, , ,195.2635,120.7594
668,21.3519,2357.4030, , ,195.2635,122.4559
669,21.3779,2558.2500, , ,195.2635,123.3313
670,21.4039,2536.7410, , ,195.2635,123.3021
671,21.4299,2322.8440, , ,195.2635,122.4901
672,21.4559,1915.0520, , ,195.2635,120.8732
673,21.4819,1430.1740, , ,195.2635,118.9108
674,21.5079,991.6766, , ,195.2635,117.1135
675,21.5339,798.5609, , ,195.2635,116.3476
676,21.5599,642.6664, , ,195.2635,115.7376
677,21.5859,440.9261, , ,195.2635,114.8628
678,21.6119,426.3899, , ,195.2635,114.7995
679,21.6379,357.5017, , ,195.2635,114.4991
680,21.6639,435.5728, , ,195.2635,114.8396
681,21.6899,663.8570, , ,195.2635,115.8293
682,21.7159,806.5927, , ,195.2635,116.4438
683,21.7419,797.8619, , ,195.2635,116.4063
684,21.7679,921.9117, , ,195.2635,116.9380
685,21.7939,1144.1540, , ,195.2635,117.8845
686,21.8199,1484.2760, , ,195.2635,119.3184
687,21.8459,1552.2180, , ,195.2635,119.6028
688,21.8719,1745.0250, , ,195.2635,120.4061
689,21.8979,1835.1510, , ,195.2635,120.7798
690,21.9239,1549.9790, , ,195.2635,119.5935
691,21.9499,1339.6680, , ,195.2635,118.7110
692,21.9759,999.4689, , ,195.2635,117.2694
693,22.0019,835.5113, , ,195.2635,116.5683
694,22.0279,522.1497, , ,195.2635,115.2163
695,22.0539,285.6887, , ,195.2635,114.1230
696,22.0799,208.4628, , ,195.2635,113.7213
697,22.1059,-125.9395, , ,195.2635,112.1777
698,22.1319,-45.7220, , ,195.2635,112.4711
699,22.1579,-65.1613, , ,195.2635,112.3211
700,22.1839,15.8142, , ,195.2635,112.6175
701,22.2099,-61.7943, , ,195.2635,112.2087
702,22.2359,-58.3638, , ,195.2635,112.1603
703,22.2619,69.3836, , ,195.2635,112.6649
704,22.2879,-0.5700, , ,195.2635,112.3016
705,22.3139,-53.0614, , ,195.2635,112.0151
706,22.3399,57.8183, , ,195.2635,112.4566
707,22.3659,-122.4275, , ,195.2635,111.5996
708,22.3919,-66.2957, , ,195.2635,111.7981
709,22.4179,-23.5470, , ,195.2635,111.9365
710,22.4439,-119.9973, , ,195.2635,111.4520
711,22.4699,-60.5345, , ,195.2635,111.6658
712,22.4959,42.5702, , ,195.2635,112.0739
713,22.5219,67.4579, , ,195.2635,112.2953
714,22.5479,-38.0513, , ,195.2635,111.9353
715,22.5739,23.3586, , ,195.2635,112.3196
716,22.5999,34.7905, , ,195.2635,112.4807
717,22.6259,203.6576, , ,195.2635,113.3382
718,22.6519,87.8307, , ,195.2635,112.9358
719,22.6779,322.9331, , ,195.2635,114.0806
720,22.7039,427.5964, , ,195.2635,114.6465
721,22.7299,380.4715, , ,195.2635,114.5490
722,22.7559,365.2356, , ,195.2635,114.5906
723,22.7819,427.3490, , ,195.2635,114.9691
724,22.8079,426.0775, , ,195.2635,115.0713
725,22.8339,234.2263, , ,195.2635,114.3431
726,22.8599,221.1152, , ,195.2635,114.3941
727,22.8859,281.4413, , ,195.2635,114.7654
728,22.9119,159.9908, , ,195.2635,114.3435
729,22.9379,14.0370, , ,195.2635,113.8124
730,22.9639,-12.3876, , ,195.2635,113.8052
731,22.9899,16.9458, , ,195.2635,114.0275
732,23.0159,-120.4465, , ,195.2635,113.5175
733,23.0419,-155.1109, , ,195.2635,113.4588
734,23.0679,-12.2251, , ,195.2635,114.1802
735,23.0939,25.2601, , ,195.2635,114.4374
736,23.1199,14.1684, , ,195.2635,114.4822
737,23.1459,71.5285, , ,195.2635,114.8254
738,23.1719,106.5210, , ,195.2635,115.0704
739,23.1979,152.4931, , ,195.2635,115.3624
740,23.2239,97.9726, , ,195.2635,115.2185
741,23.2499,-42.2809, , ,195.2635,114.7013
742,23.2759,-112.6672, , ,195.2635,114.4873
743,23.3019,-115.2291, , ,195.2635,114.5692
744,23.3279,29.8638, , ,195.2635,115.2932
745,23.3539,-104.2533, , ,195.2635,114.8031
746,23.3799,-161.7270, , ,195.2635,114.6456
747,23.4059,-45.2154, , ,195.2635,115.2452
748,23.4319,59.3183, , ,195.2635,115.7900
749,23.4579,12.5785, , ,195.2635,116.0071
750,23.4839,21.1866, , ,195.2635,116.4617
751,23.5099,114.6985, , ,195.2635,117.2770
752,23.5359,133.1401, , ,195.2635,117.7685
753,23.5619,224.9160, , ,195.2635,118.5675
754,23.5879,224.2537, , ,195.2635,118.9734
755,23.6139,95.0508, , ,195.2635,118.8382
756,23.6399,67.9848, , ,195.2635,119.1324
757,23.6659,88.6488, , ,195.2635,119.6255
758,23.6919,78.8210, , ,195.2635,119.9383
759,23.7179,94.5140, , ,195.2635,120.3563
760,23.7439,151.0906, , ,195.2635,120.9421
761,23.7699,353.2482, , ,195.2635,122.1225
762,23.7959,759.8898, , ,195.2635,124.1181
763,23.8219,1167.5910, , ,195.2635,126.0864
764,23.8479,1502.9630, , ,195.2635,127.7416
765,23.8739,1705.4740, , ,195.2635,128.8611
766,23.8999,1803.9670, , ,195.2635,129.5702
767,23.9259,1855.0300, , ,195.2635,130.0435
768,23.9519,1846.5920, , ,195.2635,130.2868
769,23.9779,1882.9920, , ,195.2635,130.7014
770,24.0039,2160.1600, , ,195.2635,132.0296
771,24.0299,2530.6300, , ,195.2635,133.6940
772,24.0559,2659.5830, , ,195.2635,134.4427
773,24.0819,2618.8060, , ,195.2635,134.5580
774,24.1079,2322.5120, , ,195.2635,133.7212
775,24.1339,1947.3390, , ,195.2635,132.5820
776,24.1599,1483.9170, , ,195.2635,131.0428
777,24.1859,1060.4780, , ,195.2635,129.6395
778,24.2119,481.6590, , ,195.2635,127.6135
779,24.2379,56.9832, , ,195.2635,126.1672
780,24.2639,-174.5936, , ,195.2635,125.4760
781,24.2899,-10.7151, , ,195.2635,126.3556
782,24.3159,26.5128, , ,195.2635,126.7304
783,24.3419,61.2073, , ,195.2635,127.0942
784,24.3679,227.2249, , ,195.2635,127.9710
785,24.3939,283.5380, , ,195.2635,128.3578
786,24.4199,734.2556, , ,195.2635,130.2663
787,24.4459,1139.1460, , ,195.2635,131.9736
788,24.4719,1750.4420, , ,195.2635,134.4291
