No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD
1081,32.0899,31.4588, , ,195.2635,104.2951
1082,32.1159,-3.7911, , ,195.2635,104.0277
1083,32.1419,-96.8415, , ,195.2635,103.4808
1084,32.1679,28.8865, , ,195.2635,103.9882
1085,32.1939,114.9791, , ,195.2635,104.3034
1086,32.2199,-6.5849, , ,195.2635,103.6204
1087,32.2459,-12.5820, , ,195.2635,103.4928
1088,32.2719,-98.0697, , ,195.2635,102.9797
1089,32.2979,52.8219, , ,195.2635,103.6111
1090,32.3239,-1.7085, , ,195.2635,103.2487
1091,32.3499,21.6178, , ,195.2635,103.2659
1092,32.3759,-5.5337, , ,195.2635,103.0384
1093,32.4019,19.6816, , ,195.2635,103.0648
1094,32.4279,105.6801, , ,195.2635,103.3855
1095,32.4539,49.3032, , ,195.2635,103.0166
1096,32.4799,-15.4657, , ,195.2635,102.6054
1097,32.5059,-15.7297, , ,195.2635,102.5077
1098,32.5319,38.3937, , ,195.2635,102.6751
1099,32.5579,-33.7467, , ,195.2635,102.2265
1100,32.5839,38.0306, , ,195.2635,102.5612
1101,32.6099,39.6689, , ,195.2635,102.5535
1102,32.6359,17.5351, , ,195.2635,102.4298
1103,32.6619,205.6418, , ,195.2635,103.3284
1104,32.6879,315.2287, , ,195.2635,103.8418
1105,32.7139,423.5953, , ,195.2635,104.3468
1106,32.7399,479.3187, , ,195.2635,104.5981
1107,32.7659,319.9807, , ,195.2635,103.8181
1108,32.7919,320.2926, , ,195.2635,103.8041
1109,32.8179,182.1751, , ,195.2635,103.0275
1110,32.8439,256.7901, , ,195.2635,103.2802
1111,32.8699,135.1521, , ,195.2635,102.5800
1112,32.8959,-73.1735, , ,195.2635,101.4486
1113,32.9219,36.1882, , ,195.2635,101.8758
1114,32.9479,130.4231, , ,195.2635,102.2273
1115,32.9739,110.2659, , ,195.2635,102.0185
1116,32.9999,31.4949, , ,195.2635,101.5209
1117,33.0259,30.3000, , ,195.2635,101.4041
1118,33.0519,129.0492, , ,195.2635,101.7794
1119,33.0779,158.2633, , ,195.2635,101.8124
1120,33.1039,269.2038, , ,195.2635,102.2458
1121,33.1299,106.3951, , ,195.2635,101.3356
1122,33.1559,78.2486, , ,195.2635,101.0854
1123,33.1819,-84.4226, , ,195.2635,100.1653
1124,33.2079,-33.4521, , ,195.2635,100.3073
1125,33.2339,-119.6798, , ,195.2635,99.7638
1126,33.2599,102.3404, , ,195.2635,100.7588
1127,33.2859,42.2437, , ,195.2635,100.4159
1128,33.3119,-38.2159, , ,195.2635,99.9700
1129,33.3379,8.1787, , ,195.2635,100.1574
1130,33.3639,-24.2369, , ,195.2635,99.9510
1131,33.3899,-30.3789, , ,195.2635,99.8758
1132,33.4159,-2.7404, , ,195.2635,99.9696
1133,33.4419,-10.2832, , ,195.2635,99.8874
1134,33.4679,-24.2949, , ,195.2635,99.7727
1135,33.4939,-23.2164, , ,195.2635,99.7336
1136,33.5199,36.2966, , ,195.2635,100.0737
1137,33.5459,-0.7562, , ,195.2635,99.9306
1138,33.5719,-38.5613, , ,195.2635,99.7836
1139,33.5979,-71.9401, , ,195.2635,99.6586
1140,33.6239,-43.4663, , ,195.2635,99.8437
1141,33.6499,-7.2624, , ,195.2635,100.0670
1142,33.6759,-1.5196, , ,195.2635,100.1379
1143,33.7019,-45.8682, , ,195.2635,99.9584
1144,33.7279,29.5229, , ,195.2635,100.3769
1145,33.7539,31.1519, , ,195.2635,100.3130
1146,33.7799,-39.8076, , ,195.2635,99.8865
1147,33.8059,-10.8563, , ,195.2635,99.9590
1148,33.8319,-16.5613, , ,195.2635,99.8582
1149,33.8579,-83.0854, , ,195.2635,99.4520
1150,33.8839,-118.2154, , ,195.2635,99.2024
1151,33.9099,-31.6031, , ,195.2635,99.5655
1152,33.9359,30.4403, , ,195.2635,99.8042
1153,33.9619,26.7715, , ,195.2635,99.7134
1154,33.9879,13.4270, , ,195.2635,99.5026
1155,34.0139,-6.7873, , ,195.2635,99.2566
1156,34.0399,170.5271, , ,195.2635,100.0026
1157,34.0659,367.6896, , ,195.2635,100.8416
1158,34.0919,305.6847, , ,195.2635,100.3910
1159,34.1179,304.6342, , ,195.2635,100.2429
