A,Perileno,Pyn,PynMOF,Peaks
3,739.45,93.907,76.0101,85.3146,
3,738.52,93.3176,75.5671,84.8088,
3,737.59,92.6947,75.3117,84.6226,
3,736.66,93.3112,75.8445,85.125,
3,735.72,93.7472,75.952,84.9462,
3,734.79,92.79,75.6582,84.6928,
3,733.86,92.8058,75.9743,85.0109,
3,732.93,93.2682,76.2686,85.2785,
3,732,93.6429,76.4422,85.4738,
3,731.07,94.0482,76.5153,85.499,
3,730.13,94.0569,76.3463,85.3033,
3,729.2,93.6201,76.1178,85.2068,
3,728.27,93.4568,76.0473,85.1592,
3,727.34,93.5732,76.0972,85.2761,
3,726.41,93.9392,76.2111,85.294,
3,725.47,93.6175,76.0296,85.0835,
3,724.54,93.1233,76.0027,85.1735,
3,723.61,93.462,76.2386,85.3395,
3,722.68,93.7636,76.3273,85.2637,
3,721.75,93.5185,76.2341,85.2233,
3,720.81,93.4487,76.2398,85.2813,
3,719.88,93.6099,76.3368,85.3381,
3,718.95,93.6849,76.456,85.4228,
3,718.02,93.6829,76.4219,85.4328,
3,717.09,94.0776,76.4753,85.5716,
3,716.16,94.5496,76.4394,85.471,
3,715.22,93.6747,75.8482,84.9337,
3,714.29,93.0957,75.665,84.856,
3,713.36,93.6089,75.9284,84.9766,
3,712.43,93.2747,75.7789,84.82,
3,711.5,92.9954,75.884,84.9371,
3,710.56,93.3563,76.2477,85.1755,
3,709.63,93.5944,76.4438,85.3201,
3,708.7,93.655,76.5477,85.3682,
3,707.77,93.6818,76.6097,85.4419,
3,706.84,93.945,76.6677,85.556,
3,705.91,94.299,76.6875,85.5177,
3,704.97,93.8496,76.284,85.1917,
3,704.04,93.2636,76.0635,85.0942,
3,703.11,93.4183,76.2993,85.2093,
3,702.18,93.588,76.4693,85.3058,
3,701.25,93.747,76.5307,85.3634,
3,700.31,93.841,76.5287,85.4226,
3,699.38,93.8101,76.5017,85.4228,
3,698.45,93.779,76.5256,85.4512,
3,697.52,93.7528,76.5849,85.4826,
3,696.59,93.8437,76.6296,85.5587,
3,695.66,94.3013,76.6807,85.5815,
3,694.72,94.2834,76.4602,85.2053,
3,693.79,93.6105,76.1415,85.0676,
3,692.86,94.0723,76.2906,85.2743,
3,691.93,94.2096,76.0704,84.8248,
3,691,92.7823,75.6607,84.4929,
3,690.06,92.6493,75.9877,84.7792,
3,689.13,93.2731,76.3882,85.0777,
3,688.2,93.5917,76.6417,85.2356,
3,687.27,93.6185,76.7398,85.3243,
3,686.34,93.6584,76.7942,85.4154,
3,685.41,93.7952,76.8709,85.4653,
3,684.47,93.956,76.9062,85.4817,
3,683.54,94.0743,76.8359,85.3945,
3,682.61,93.7994,76.6161,85.2114,
3,681.68,93.5274,76.5558,85.3133,
3,680.75,94.0013,76.6652,85.5479,
3,679.81,94.7458,76.5715,85.4206,
3,678.88,94.2685,76.081,84.7686,
3,677.95,92.5559,75.5596,84.2288,
3,677.02,92.0334,75.6902,84.3909,
3,676.09,92.9698,76.2082,84.9291,
3,675.16,94.2491,76.7392,85.2758,
3,674.22,94.403,76.6305,84.8925,
3,673.29,93.4505,76.2209,84.6008,
3,672.36,93.1961,76.1903,84.5332,
3,671.43,92.7913,76.006,84.4557,
3,670.5,92.8876,76.2606,84.6993,
3,669.56,93.347,76.6151,84.8859,
3,668.63,93.58,76.7833,84.981,
3,667.7,93.7143,76.8626,85.0283,
3,666.77,93.7378,76.9003,85.0928,
3,665.84,93.7369,76.8296,85.0529,
3,664.9,93.7341,76.7404,84.9857,
3,663.97,93.7502,76.6911,84.9394,
3,663.04,93.6494,76.6576,84.9279,
3,662.11,93.6011,76.6189,84.8941,
3,661.18,93.9302,76.6614,84.9299,
3,660.25,94.3129,76.6121,84.7299,
3,659.31,93.5019,76.1117,84.3106,
3,658.38,92.8098,75.9171,84.224,
3,657.45,93.1291,76.2133,84.3458,
3,656.52,93.4782,76.4196,84.5342,
3,655.59,94.0333,76.6132,84.7359,
3,654.65,94.2548,76.4402,84.4991,
3,653.72,93.9184,75.9685,84.0575,
3,652.79,93.5419,75.6396,83.6655,
3,651.86,93.0265,75.4492,83.5653,
3,650.93,93.0987,75.4642,83.4272,
3,650,92.576,75.2901,83.2211,
3,649.06,92.4474,75.5311,83.467,
3,648.13,92.998,75.9808,83.8316,
3,647.2,93.3818,76.2786,84.1041,
3,646.27,93.5517,76.3663,84.1677,
3,645.34,93.5284,76.3235,84.1132,
3,644.4,93.4954,76.304,84.1087,
3,643.47,93.5178,76.2636,84.1355,
3,642.54,93.6598,76.2435,84.113,
3,641.61,93.6812,76.2078,84.0268,
3,640.68,93.5045,76.1156,84.0378,
3,639.75,93.4158,76.1176,84.0875,
3,638.81,93.5605,76.1522,84.0965,
3,637.88,93.7357,76.1118,83.9964,
3,636.95,93.4725,75.8793,83.6913,
3,636.02,93.1315,75.7805,83.6145,
3,635.09,93.3725,75.8722,83.7559,
3,634.15,94.0226,76.0224,83.927,
3,633.22,94.5484,75.9487,83.7205,
3,632.29,93.8405,75.2552,83.0352,
