nm	XPyn	Pyn	XPynMOF	PynMOF
659	101.3	0.00560944536028036	102.9	0.012415374762433
658	101.4	0.0060379549973172	102.5	0.0107238653917731
657	101.5	0.00646604224923172	102.6	0.0111473607757974
656	101.6	0.00689370794790044	103.1	0.0132586652835165
655	101.7	0.00732095292274467	103.6	0.0153597554092142
654	101.5	0.00646604224923172	103	0.0128372247051722
653	101.5	0.00646604224923172	103.2	0.0136796972911925
652	101.6	0.00689370794790044	103.1	0.0132586652835165
651	101.5	0.00646604224923172	103	0.0128372247051722
650	101.6	0.00689370794790044	103.2	0.0136796972911925
649	101.4	0.0060379549973172	103.4	0.0145205387579237
648	101.9	0.00817418400642644	103.3	0.0141003215196206
647	101.4	0.0060379549973172	102.6	0.0111473607757974
646	101.7	0.00732095292274467	103.4	0.0145205387579237
645	101.7	0.00732095292274467	103.3	0.0141003215196206
644	101.9	0.00817418400642644	103.3	0.0141003215196206
643	101.3	0.00560944536028036	103.2	0.0136796972911925
642	101.6	0.00689370794790044	102.8	0.0119931146592569
641	101.8	0.00774777800073994	103.5	0.0149403497929366
640	101.5	0.00646604224923172	103.3	0.0141003215196206
639	101.5	0.00646604224923172	103.5	0.0149403497929366
638	101.9	0.00817418400642644	103.7	0.015778756389041
637	101.8	0.00774777800073994	103.7	0.015778756389041
636	102.1	0.00902574208691015	103.7	0.015778756389041
635	101.9	0.00817418400642644	103.8	0.016197353512439
634	101.8	0.00774777800073994	103.5	0.0149403497929366
633	102.1	0.00902574208691015	103.8	0.016197353512439
632	102	0.00860017176191758	103.7	0.015778756389041
631	101.8	0.00774777800073994	103.6	0.0153597554092142
630	102	0.00860017176191758	103.6	0.0153597554092142
629	101.9	0.00817418400642644	103.7	0.015778756389041
628	101.8	0.00774777800073994	103.7	0.015778756389041
627	102.1	0.00902574208691015	103.6	0.0153597554092142
626	102.2	0.00945089579869395	103.8	0.016197353512439
625	101.9	0.00817418400642644	103.5	0.0149403497929366
624	102.3	0.0098756337121601	104.3	0.0182843084265308
623	102.3	0.0098756337121601	104	0.0170333392987803
622	102	0.00860017176191758	104.1	0.0174507295105361
621	102.2	0.00945089579869395	104	0.0170333392987803
620	101.9	0.00817418400642644	103.8	0.016197353512439
619	102.2	0.00945089579869395	104.5	0.0191162904470728
618	102.5	0.0107238653917731	104.4	0.0187004986662434
617	102.4	0.0102999566398121	104.4	0.0187004986662434
616	102.3	0.0098756337121601	104.2	0.0178677189635057
615	102.3	0.0098756337121601	104.1	0.0174507295105361
614	102.4	0.0102999566398121	104.6	0.0195316845312554
613	102.7	0.0115704435972783	104.8	0.0203612826477078
612	102.6	0.0111473607757974	104.2	0.0178677189635057
611	102.8	0.0119931146592569	104.4	0.0187004986662434
610	103.2	0.0136796972911925	104.9	0.020775488193558
609	102.8	0.0119931146592569	104.8	0.0203612826477078
608	103.3	0.0141003215196206	105	0.0211892990699381
607	102.7	0.0115704435972783	105.1	0.0216027160282421
606	103.2	0.0136796972911925	105.5	0.0232524596337115
605	103.2	0.0136796972911925	105.4	0.0228406108765279
604	103.4	0.0145205387579237	105.4	0.0228406108765279
603	103.6	0.0153597554092142	105.6	0.0236639181977934
602	103.3	0.0141003215196206	105.4	0.0228406108765279
601	103.7	0.015778756389041	105.5	0.0232524596337115
600	103.6	0.0153597554092142	105.6	0.0236639181977934
599	103.9	0.0166155475571775	105.8	0.0244856676991669
598	104.2	0.0178677189635057	106.1	0.0257153839013407
597	104.2	0.0178677189635057	106.2	0.0261245167454503
596	104.2	0.0178677189635057	106.3	0.0265332645232967
595	104.8	0.0203612826477078	106.3	0.0265332645232967
594	104.6	0.0195316845312554	106.5	0.0273496077747565
593	105.2	0.0220157398177203	106.6	0.0277572046905534
