Labels,MOF230 DMSO Ar 420 nm 400 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,399960.0000,
Step,40.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

11040.000,5.54810918E-4,
11080.000,3.00468807E-3,
11120.000,1.04533718E-3,
11160.000,2.27430207E-3,
1.12E04,7.99968198E-4,
11240.000,1.78967288E-3,
11280.000,-1.16446137E-3,
11320.000,2.27216654E-3,
11360.000,3.09585535E-4,
1.14E04,-2.38365028E-3,
11440.000,7.99681642E-4,
11480.000,1.04441948E-3,
11520.000,-1.16819283E-3,
11560.000,1.78445014E-3,
1.16E04,1.78371265E-3,
11640.000,3.10284464E-4,
11680.000,-9.19230981E-4,
11720.000,8.01088405E-4,
11760.000,-4.25275823E-4,
1.18E04,-2.14845734E-3,
11840.000,1.28993113E-3,
11880.000,-2.14248197E-3,
11920.000,1.78150530E-3,
11960.000,-1.81582262E-4,
1.2E04,-1.81920492E-4,
12040.000,8.00907263E-4,
12080.000,8.00401729E-4,
12120.000,-2.14096485E-3,
12160.000,3.09779105E-4,
1.22E04,-4.28833009E-4,
12240.000,-6.74479583E-4,
12280.000,-6.74479525E-4,
12320.000,3.09935800E-4,
12360.000,-2.14396417E-3,
1.24E04,1.29271508E-3,
12440.000,-4.26299841E-4,
12480.000,-1.41591625E-3,
12520.000,2.52039591E-3,
12560.000,-1.80797259E-4,
1.26E04,-1.82708056E-4,
12640.000,2.02645408E-3,
12680.000,-2.39500171E-3,
12720.000,-6.71253598E-4,
12760.000,-2.14693369E-3,
1.28E04,1.04593846E-3,
12840.000,5.55197243E-4,
12880.000,3.09354946E-4,
12920.000,-4.28354542E-4,
12960.000,-3.11521045E-3,
1.3E04,1.29130238E-3,
13040.000,-2.14552111E-3,
13080.000,1.78003777E-3,
13120.000,3.09912226E-4,
13160.000,1.29310158E-3,
1.32E04,-1.82781281E-4,
13240.000,2.26920936E-3,
13280.000,5.55160455E-4,
13320.000,8.01596208E-4,
13360.000,2.76161381E-3,
1.34E04,-9.24000808E-4,
13440.000,-4.25348931E-4,
13480.000,3.09354946E-4,
13520.000,5.54737810E-4,
13560.000,6.49269568E-5,
1.36E04,3.99859855E-3,
13640.000,-2.38692062E-3,
13680.000,-1.16722169E-3,
13720.000,-2.39174929E-3,
13760.000,-2.88286805E-3,
1.38E04,-6.74516079E-4,
13840.000,-1.16531947E-3,
13880.000,3.24735162E-3,
13920.000,-1.16163748E-3,
13960.000,-9.16105753E-4,
1.4E04,6.44935280E-5,
14040.000,3.09415453E-4,
14080.000,1.04410201E-3,
14120.000,-1.82332340E-4,
14160.000,-6.73898729E-4,
1.42E04,1.29267853E-3,
14240.000,-6.75207644E-4,
14280.000,-4.28869709E-4,
14320.000,-1.65089185E-3,
14360.000,-4.25275910E-4,
1.44E04,1.04498223E-3,
14440.000,1.53948134E-3,
14480.000,6.51615337E-5,
14520.000,-1.83047552E-4,
14560.000,1.04569248E-3,
1.46E04,-1.81280950E-4,
14640.000,5.54945960E-4,
14680.000,1.29176059E-3,
14720.000,1.78304920E-3,
14760.000,4.00059158E-3,
1.48E04,2.52046925E-3,
14840.000,3.09779105E-4,
14880.000,-6.71253598E-4,
14920.000,-1.16636162E-3,
14960.000,2.02729087E-3,
1.5E04,5.54982573E-4,
15040.000,-1.40844844E-3,
15080.000,7.99249974E-4,
15120.000,-1.16071047E-3,
15160.000,-6.72556343E-4,
1.52E04,-1.66059704E-3,
15240.000,-6.68693043E-4,
15280.000,-6.71977701E-4,
15320.000,-1.81618816E-4,
15360.000,3.09548981E-4,
1.54E04,-1.40955346E-3,
15440.000,8.01051734E-4,
15480.000,-9.16105753E-4,
15520.000,-1.90201635E-3,
15560.000,-1.89257949E-3,
1.56E04,2.02991604E-3,
15640.000,-9.15281009E-4,
15680.000,-1.65443402E-3,
15720.000,6.37501071E-5,
15760.000,6.42216473E-5,
1.58E04,6.40225626E-5,
15840.000,-4.26336337E-4,
15880.000,-1.89663540E-3,
15920.000,1.53407489E-3,
15960.000,-1.40415039E-3,
1.6E04,2.27422873E-3,
16040.000,-4.26812650E-4,
16080.000,6.40225626E-5,
16120.000,2.52270582E-3,
16160.000,-1.65454391E-3,
1.62E04,-1.65213214E-3,
16240.000,-1.17190450E-3,
16280.000,2.51701381E-3,
16320.000,-4.23198595E-4,
16360.000,3.75354756E-3,
1.64E04,3.50151258E-3,
16440.000,-1.41706667E-3,
16480.000,-2.39985739E-3,
16520.000,-4.26299754E-4,
16560.000,6.51614973E-5,
1.66E04,3.09063005E-4,
16640.000,-2.87338463E-3,
16680.000,-2.87717138E-3,
16720.000,2.52050557E-3,
16760.000,1.53649121E-3,
1.68E04,-1.89254293E-3,
16840.000,-1.41169399E-3,
16880.000,-1.16636162E-3,
16920.000,3.09935800E-4,
16960.000,3.09257739E-4,
1.7E04,1.78301265E-3,
17040.000,5.54484839E-4,
17080.000,-1.41173066E-3,
17120.000,1.04473718E-3,
17160.000,2.02820147E-3,
1.72E04,2.03346740E-3,
17240.000,-1.83800992E-4,
17280.000,-9.16821824E-4,
17320.000,3.08867864E-4,
17360.000,5.54899161E-4,
1.74E04,-9.15244455E-4,
17440.000,2.76936521E-3,
17480.000,5.54654922E-4,
17520.000,-4.10160562E-3,
17560.000,2.02820147E-3,
1.76E04,-2.89623556E-3,
17640.000,-2.87531340E-3,
17680.000,1.78231334E-3,
17720.000,4.24138177E-3,
17760.000,-4.24764818E-4,
1.78E04,3.09160445E-4,
17840.000,1.29264186E-3,
17880.000,3.09294352E-4,
17920.000,2.27227621E-3,
17960.000,1.28943846E-3,
1.8E04,-1.64965296E-3,
18040.000,4.24134498E-3,
18080.000,1.53708796E-3,
18120.000,1.78445014E-3,
18160.000,-4.25824081E-4,
1.82E04,2.27731303E-3,
18240.000,1.78154185E-3,
18280.000,-4.29385429E-4,
18320.000,5.54774364E-4,
18360.000,3.09488561E-4,
1.84E04,2.27727625E-3,
