nm,Abs,
356.00,  0.242,
355.00,  0.243,
354.00,  0.243,
353.00,  0.246,
352.00,  0.230,
351.00,  0.236,
350.00,  0.230,
349.00,  0.228,
348.00,  0.225,
347.00,  0.240,
346.00,  0.223,
345.00,  0.225,
344.00,  0.234,
343.00,  0.232,
342.00,  0.222,
341.00,  0.225,
340.00,  0.232,
339.00,  0.222,
338.00,  0.226,
337.00,  0.239,
336.00,  0.234,
335.00,  0.228,
334.00,  0.234,
333.00,  0.238,
332.00,  0.241,
331.00,  0.237,
330.00,  0.242,
329.00,  0.236,
328.00,  0.254,
327.00,  0.250,
326.00,  0.245,
325.00,  0.253,
324.00,  0.251,
323.00,  0.274,
322.00,  0.259,
321.00,  0.247,
320.00,  0.258,
319.00,  0.263,
318.00,  0.261,
317.00,  0.270,
316.00,  0.286,
315.00,  0.274,
314.00,  0.283,
313.00,  0.289,
312.00,  0.291,
311.00,  0.280,
310.00,  0.283,
309.00,  0.295,
308.00,  0.297,
307.00,  0.305,
306.00,  0.289,
305.00,  0.302,
304.00,  0.307,
303.00,  0.299,
302.00,  0.316,
301.00,  0.301,
300.00,  0.309,
