tubo_420,led_420,tubo_420_corr,led_420_corr,tubo_420_integral,led_420_integral,lambda
-13.5,-11.25,-0.616034684560248,-7.62709609455545,29.2100848695758,7.34902808059754,300.95
-12,-12.25,-0.551018109952634,-8.35710800094828,29.7991907833331,7.30243822050761,301.31
-14.5,-12.25,-0.670521498720554,-8.41620088049247,30.0636823592888,5.91308263743189,301.68
-14,-10.75,-0.648850664181,-7.40219431177917,30.7400254167444,4.95297449896766,302.05
-14.5,-10.5,-0.67438293144805,-7.2554301590273,31.917081574641,4.80354013425511,302.42
-15.75,-12.25,-0.735013234252564,-8.49348626247408,32.6227104461628,5.09417353538361,302.79
-15,-12.5,-0.703204798708885,-8.70634512687191,32.6995452319284,4.6382127320542,303.15
-14.5,-12.75,-0.683522496010873,-8.92956482473319,32.589925579558,4.38688555514228,303.52
-13.25,-13,-0.627067627017479,-9.1406515550149,32.292477391381,4.57419557420818,303.89
-15,-13,-0.713329995553118,-9.18497289512206,31.8844251251614,3.61173432940314,304.26
-14,-12.25,-0.669728713270201,-8.70647327251261,31.6694174285405,3.10893325022239,304.62
-12.75,-13.75,-0.61524181820538,-9.85765602278648,31.1577142540951,2.64118588466084,304.99
-14.5,-11.5,-0.703194793212026,-8.28592091311905,30.8271965871298,1.14977217050584,305.36
-16,-13.25,-0.77779640656877,-9.56967364510504,30.6206383855388,-0.666397268237068,305.73
-13.25,-11.5,-0.646532765992248,-8.33696159705367,30.3978870021126,-1.98748547716738,306.09
-13,-11,-0.636099234731719,-7.99667609377018,30.8476105315519,-2.57415560710433,306.46
-10,-9.25,-0.489898499624831,-6.7326050948441,31.9895283567869,-3.55818867265832,306.83
-13.5,-11,-0.662665734522564,-8.0221121724213,33.1201133470794,-4.62397892714472,307.2
-12.75,-13.5,-0.623224497137865,-9.80400217346288,32.9298164645832,-4.81587827611656,307.56
-13.5,-11.75,-0.66012389703838,-8.5362053140836,32.5119685263902,-4.769659626535,307.93
-13.5,-13.75,-0.660006138030339,-9.98739446966544,32.0146033193449,-4.87849357471142,308.3
-15.25,-10.75,-0.747490426790885,-7.82851800610969,31.822370205917,-4.59584580779682,308.67
-14,-11,-0.685752250509929,-8.00510790391183,32.4675541909777,-4.01579519313837,309.03
-11.5,-12.5,-0.5645557885608,-9.11705000160299,32.574095483648,-3.81286038332116,309.4
-8.5,-13,-0.418754291504928,-9.51522356495232,32.0284172549776,-4.16680672353179,309.77
-12,-11.25,-0.591584888884779,-8.23993238089513,31.8655377385591,-4.05370371026355,310.13
-13.5,-11.25,-0.666983606945341,-8.25789227646613,32.24053363896,-3.38556830097121,310.5
-11.5,-9.25,-0.570729415962737,-6.82039376591495,33.2279441138359,-2.88098730795371,310.87
-10,-11.25,-0.498476003339899,-8.33167034153831,34.1831541296309,-2.94312748700528,311.24
-14.5,-11.5,-0.727797572586027,-8.57582164347673,34.3749292012567,-3.24895755907571,311.6
-11.5,-9.25,-0.581268315596182,-6.9463368894848,35.1696854733097,-3.09749558005486,311.97
-13.25,-11,-0.673619825797015,-8.30858308045051,36.0794467974109,-2.22810389823946,312.34
-10.5,-12.25,-0.536136650628113,-9.29303527755395,35.9786679059486,-1.63057523497457,312.7
-12.25,-13.25,-0.628782105030025,-10.1045100959927,35.0994996140934,-1.10312101879881,313.07
-13.5,-11.25,-0.69715110262177,-8.63139460388859,34.5055866187124,-0.17555810141638,313.44
-13.25,-9,-0.685918544778057,-6.92204590740982,35.2640215364342,-0.0849323061951889,313.8
-11,-12.25,-0.57188030561985,-9.46201960207389,35.6846228081772,-0.330004590568186,314.17
-15,-11.75,-0.784496410688394,-9.1300439415354,35.1517520008646,0.165327788167332,314.54
-11.75,-12,-0.61622573678964,-9.35014856551333,34.6799301939388,0.392316711462668,314.9
-14,-14,-0.734754514175189,-10.9163527820314,33.4235640845299,0.203856394406585,315.27
-12,-12.5,-0.628395058320293,-9.72516161686167,32.0049644136308,0.187643688906606,315.64
-14,-10.5,-0.731383250456073,-8.14969907651053,31.7863610820166,0.26085868449717,316
-11.5,-13.25,-0.598001095489516,-10.2365901811746,31.3405706136748,0.764864455908641,316.37
-12.5,-11,-0.646076737955055,-8.4469918653781,30.7660958304804,1.53188562705864,316.74
-14.25,-12,-0.733161236697305,-9.17278419446854,30.6536071585143,1.80876247151703,317.1
-13,-12.5,-0.663365720974846,-9.47665315678351,30.0931751853938,1.61595405537096,317.47
-11.75,-12.5,-0.595335858769295,-9.40956372522898,29.4301804538371,1.36644343795546,317.84
-13,-10.5,-0.653814299950891,-7.8457715994107,29.4697360042255,1.14501895222296,318.2
-12.75,-9.25,-0.634461847726113,-6.83868120462208,30.619806449599,2.22348135267478,318.57
-12.75,-12.75,-0.630090682996454,-9.36134729023303,31.1019133711372,3.37493982281545,318.93
-13.5,-13.25,-0.663481942674754,-9.6749007090562,30.3727625738275,3.93286048233889,319.3
-13.5,-11.25,-0.660635390811833,-8.17929531481317,30.1535112849159,4.81894775752885,319.67
-12,-11.5,-0.58532175315357,-8.33386686632941,30.5030811717808,5.15665079755376,320.03
-12.5,-11.5,-0.609750149934947,-8.33441347796796,30.795053834487,5.43043350480551,320.4
-10.5,-12.5,-0.512245102949239,-9.0601174671294,30.7737713431311,5.92675248354365,320.76
-11.5,-10.25,-0.561876878381753,-7.44050624043414,31.1374194706299,6.515461009073,321.13
-13,-11.75,-0.636593266723725,-8.54853815314716,31.7215464076728,7.41574534171976,321.5
-13,-13,-0.636213973000796,-9.45232188458326,31.4445848109786,8.21569941037611,321.86
-12.25,-13.5,-0.602459003619166,-9.86416840911147,30.5916679510751,9.58801876663836,322.23
-13.25,-12.25,-0.653366710256473,-8.97454651069268,29.9621298065502,10.9945036985156,322.59
