LAMBDA	EM PYN	EM PYNMOF	Pyn N	PynMOF N
496	1605636.1392851	28412.4273774285	0.949324715751971	0.168803059156497
497	1591333.9041336	28456.8038912912	0.940859142360402	0.16907395836927
498	1571067.50104054	29117.2483906815	0.928863344434407	0.173105683247865
499	1556477.56431767	29001.2422648884	0.920227478865322	0.172397516575479
500	1536882.75755875	28953.0748301552	0.908629202585137	0.172103475448433
501	1526106.01593774	28436.9863192417	0.902250388634156	0.168952980757466
502	1513311.05269685	28806.6150245579	0.894676977960172	0.171209402377212
503	1501972.57791481	28073.2504406584	0.887965670993182	0.16673253226819
504	1494814.98155513	28314.0821828333	0.883729049468764	0.168202704746541
505	1489566.58672218	28454.2418109969	0.880622495061318	0.169058317989385
506	1480370.01063918	29397.5473916118	0.875178989975778	0.174816786083212
507	1483223.06068768	31022.6978148542	0.876867726338976	0.184737618793446
508	1479774.52514448	32652.6687773517	0.874826518763721	0.194687878787973
509	1486121.09786247	34714.4738905109	0.878583090835143	0.207274297445729
510	1486918.72419961	36845.3044104272	0.879055210348251	0.220282086029246
511	1493962.51102792	39630.9736722786	0.883224467371229	0.237287378793303
512	1496767.2056976	42911.6947803333	0.884884581913854	0.257314746608898
513	1496759.59173867	45726.4942477163	0.884880075168762	0.274497866540066
514	1502777.18862831	49611.5626803685	0.888441924597926	0.298214510511554
515	1503541.42988124	53632.5167205247	0.888894283292006	0.322760676698645
516	1506097.24615841	58003.6463123049	0.890407085314944	0.349444511508401
517	1507402.40569254	62780.7960451723	0.891179616580642	0.378606921740532
518	1507668.27786613	68080.2861115672	0.891336987814886	0.410957991306976
519	1505498.6149701	73734.9687754044	0.890052752149153	0.44547735636702
520	1502013.35409089	79538.9939714642	0.88798980664104	0.480908392283813
521	1501277.1523751	85593.4017979089	0.887554044706632	0.517867904675197
522	1497296.71571096	91966.998480879	0.885198001867607	0.556775925465108
523	1489837.62407513	98971.2460007286	0.880782923594264	0.599533793851754
524	1483707.16534668	105240.534533062	0.877154270608215	0.637805058992474
525	1475294.52050795	113292.053582891	0.872174778833326	0.686956062133003
