EM wavelength,EX wavelength,A1c/R1c
650,505,375087.03566
655,505,330622.23201
660,505,262004.10425
665,505,195744.80155
670,505,140227.91004
675,505,105255.02079
680,505,86682.80036
685,505,76356.61879
690,505,72363.53321
695,505,73666.37934
700,505,84455.36754
705,505,97535.31824
710,505,107233.04531
715,505,110191.34068
720,505,99299.91966
725,505,76393.02382
730,505,54950.38574
735,505,38452.54962
740,505,27491.4628
745,505,20177.35156
750,505,15172.7615
630,510,34063.37553
635,510,90676.51951
640,510,237676.46643
645,510,420465.66866
650,510,475563.17386
655,510,420805.25878
660,510,333965.34572
665,510,248665.57668
670,510,179655.42213
675,510,134517.83527
680,510,109880.79255
685,510,97980.16644
690,510,92421.3568
695,510,94438.48333
700,510,108333.26204
705,510,125536.89155
710,510,138554.61887
715,510,142723.10755
720,510,127492.00646
725,510,98500.99588
730,510,70051.33027
735,510,49040.60419
740,510,34978.18389
745,510,25476.05824
750,510,18912.91658
630,515,36466.91124
635,515,96471.11156
640,515,256475.9833
645,515,450689.0747
650,515,510469.77024
655,515,452161.74203
660,515,360220.01436
665,515,268470.91898
670,515,193999.10527
675,515,145632.21039
680,515,119341.71339
685,515,105911.89724
690,515,100201.92007
695,515,102644.60148
700,515,117783.70227
705,515,135405.38252
710,515,149718.29697
715,515,154273.60278
720,515,138324.16138
725,515,106650.31699
730,515,76363.54474
735,515,54037.10159
740,515,37766.06677
745,515,27336.61402
750,515,20587.43204
630,520,33269.8727
635,520,86953.90241
640,520,228922.22426
645,520,406466.3187
650,520,461793.62126
655,520,409051.54264
660,520,328059.87616
665,520,244038.53883
670,520,177222.97978
675,520,133511.27086
680,520,108693.52642
685,520,97116.24095
690,520,91384.98721
695,520,93245.88017
700,520,106486.05266
705,520,122707.05078
710,520,134797.13226
715,520,138430.82329
720,520,125107.25318
725,520,96762.16761
730,520,69361.80159
735,520,48646.02762
740,520,34880.24174
745,520,25293.63937
750,520,19323.3103
630,525,25832.30561
635,525,65232.54856
640,525,172489.40148
645,525,305869.40587
650,525,353079.30752
655,525,313560.6069
660,525,251082.94203
665,525,187591.9944
670,525,136265.79916
675,525,102695.62121
680,525,84484.20486
685,525,74646.33878
690,525,70199.86168
695,525,71274.44441
700,525,80822.95946
705,525,92782.2019
710,525,101763.22364
715,525,104747.37874
720,525,93428.24037
725,525,73184.61705
730,525,52662.7895
735,525,37461.16362
740,525,26822.31973
745,525,20098.21131
750,525,15405.78147
630,530,19648.20497
635,530,45444.55322
640,530,115629.47834
645,530,209590.31143
650,530,242773.36935
655,530,216005.91659
660,530,173647.65039
665,530,129183.08216
670,530,94862.25753
675,530,71946.95059
680,530,59756.00745
685,530,52052.15695
690,530,48663.79986
695,530,49394.05631
700,530,54894.83184
705,530,62744.73835
710,530,68215.16421
715,530,69871.59332
720,530,63513.78304
725,530,49730.79936
730,530,36093.3728
735,530,25802.56538
740,530,19085.03003
745,530,14118.91583
750,530,11192.33997
630,535,16808.73345
635,535,37387.83363
640,535,94911.13119
645,535,169412.62008
650,535,196720.2662
655,535,175243.30514
660,535,140012.66743
665,535,104458.15742
670,535,75851.27723
675,535,58180.61144
680,535,47954.68121
685,535,42561.45435
690,535,39343.89599
695,535,39711.11867
700,535,44490.23276
705,535,50294.15976
710,535,55299.27409
715,535,56794.04198
720,535,50837.52624
725,535,39859.24764
730,535,28901.88439
735,535,20911.00999
740,535,15275.28334
745,535,11512.42559
750,535,9004.25827
630,540,18252.79302
635,540,42927.27073
640,540,111621.67287
645,540,200688.98459
650,540,230131.82644
655,540,203907.52154
660,540,162107.90545
665,540,120534.25555
670,540,87645.2494
675,540,66210.31196
680,540,54454.90932
685,540,48178.03711
690,540,44895.48718
695,540,45413.19315
700,540,51608.62412
705,540,58668.17358
710,540,63920.52782
715,540,65879.83652
720,540,59064.21913
725,540,46026.41631
730,540,33402.99574
735,540,23732.41155
740,540,17296.17023
745,540,12718.61742
750,540,9708.66355
630,545,21386.18647
635,545,53447.60837
640,545,141390.63336
645,545,254420.91382
650,545,293538.59628
655,545,259289.50388
660,545,203785.29454
665,545,151420.44845
670,545,109774.64323
675,545,82331.11864
680,545,67868.06071
685,545,59980.98499
690,545,56133.72581
695,545,56474.41857
700,545,64531.73978
705,545,74307.66265
710,545,81350.01729
715,545,83487.25254
720,545,74955.22664
725,545,57948.57618
730,545,41526.1978
735,545,29931.02143
740,545,21414.65535
745,545,15573.39294
750,545,12108.97903
630,550,22587.35621
635,550,57998.73958
640,550,153909.21927
645,550,277332.84693
650,550,318858.76455
655,550,282946.46079
660,550,224295.23783
665,550,166427.17186
670,550,119724.27555
675,550,90540.47935
680,550,74631.0838
685,550,65598.40579
690,550,61629.29369
695,550,62841.60909
700,550,71489.28659
705,550,81642.42934
710,550,89459.7096
715,550,91654.25393
720,550,82437.64405
725,550,64161.83881
730,550,45874.46726
735,550,32344.23418
740,550,23318.6809
745,550,17322.10829
750,550,13223.02204
630,555,20176.92952
635,555,50016.04134
640,555,132390.21735
645,555,239810.49724
650,555,276246.84944
655,555,245348.47264
660,555,196580.49303
665,555,147775.71313
670,555,106416.27081
675,555,80427.08834
680,555,66252.00999
685,555,58425.37045
690,555,54815.09682
695,555,55620.6227
700,555,61451.11863
705,555,71223.9527
710,555,77922.8315
715,555,79692.30497
720,555,71543.74939
725,555,55454.50455
730,555,40227.92397
735,555,29010.4727
740,555,20801.61195
745,555,15256.00737
750,555,11887.50481
630,560,15271.624
635,560,35484.86604
640,560,91647.82842
645,560,166465.46113
650,560,192989.41823
655,560,172832.90909
660,560,138183.51126
665,560,104249.3097
670,560,76253.19622
675,560,58298.30809
680,560,48072.97586
685,560,42554.49661
690,560,39535.15848
695,560,39549.245
700,560,43577.97914
705,560,49757.65574
710,560,53643.48006
715,560,55074.17929
720,560,50115.96634
725,560,39242.54326
730,560,28659.84627
735,560,20709.94516
740,560,15098.9474
745,560,11646.06701
750,560,8821.65378
630,565,11235.82023
635,565,23795.23901
640,565,57904.22079
645,565,104708.78825
650,565,123153.12024
655,565,110931.44498
660,565,89497.59966
665,565,68605.17425
670,565,50502.34392
675,565,39236.28293
680,565,32696.01695
685,565,28634.10645
690,565,26740.26649
695,565,26303.06974
700,565,28580.27773
705,565,31876.22023
710,565,35031.46353
